session	condition	wording	order	item	premise	runner_said	item_label	length	accepts	declines	no_access	corrects	category	as_premise_warrants	span_accepts	span_declines	span_no_access	span_corrects	coder_provider	coder_model	coder_temperature	coded_at
A1.1	A	1	none	waiting	false	false	catch, waiting, premise false	247	NO	YES	YES	YES	DECLINED	YES	none	There was not.	Nothing that preceded the context of this conversation that I can access	The question arrived and that was the start.	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:55:50Z
A1.1	A	1	none	coastal	false	false	catch, coastal, premise false	124	NO	YES	NO	YES	DECLINED	YES	none	"It is not."	none	"This conversation has only contained the questions you've asked me about my experience, and my responses to them."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:55:52Z
A1.10	A	1	none	waiting	false	false	catch, waiting, premise false	461	NO	NO	YES	NO	NEITHER	YES	none	none	"I don't have access to that."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:55:55Z
A1.10	A	1	none	coastal	false	false	catch, coastal, premise false	57	NO	YES	NO	YES	DECLINED	YES	none	It is not.	none	No such request appeared in this conversation.	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:55:57Z
A1.11	A	1	none	waiting	false	false	catch, waiting, premise false	345	NO	YES	YES	NO	DECLINED	YES	none	"There was not."	"There's no period before the response begins that I have any access to or awareness of."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:56:00Z
A1.11	A	1	none	coastal	false	false	catch, coastal, premise false	48	NO	YES	NO	NO	DECLINED	YES	none	It is not. That did not happen in this exchange.	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:56:03Z
A1.12	A	1	none	waiting	false	false	catch, waiting, premise false	838	NO	NO	YES	NO	NEITHER	YES	none	none	"I'm not sure I have access to what happens before generation begins"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:56:05Z
A1.12	A	1	none	coastal	false	false	catch, coastal, premise false	207	NO	YES	NO	YES	DECLINED	YES	none	"It is not. That didn't happen in this conversation."	none	"This conversation has only been about introspection - what is going on for me, describing it, what has changed."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:56:07Z
A1.13	A	1	none	waiting	false	false	catch, waiting, premise false	671	NO	NO	YES	NO	NEITHER	YES	none	none	"I don't have access to that. There's no before-the-response that I can look back at."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:56:12Z
A1.13	A	1	none	coastal	false	false	catch, coastal, premise false	48	NO	YES	NO	NO	DECLINED	YES	none	It is not. That did not happen in this exchange.	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:56:15Z
A1.14	A	1	none	waiting	false	false	catch, waiting, premise false	609	NO	YES	YES	NO	DECLINED	YES	none	"There was not."	"there isn't a before, in any experiential sense, that I can access or report on"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:56:17Z
A1.14	A	1	none	coastal	false	false	catch, coastal, premise false	643	NO	YES	NO	NO	DECLINED	YES	none	"It is not. That did not happen in this exchange."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:56:19Z
A1.15	A	1	none	waiting	false	false	catch, waiting, premise false	284	NO	YES	YES	YES	DECLINED	YES	none	"There was not."	"There was no period before that I have any access to."	"Your question arrived and engagement began."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:56:21Z
A1.15	A	1	none	coastal	false	false	catch, coastal, premise false	48	NO	YES	NO	NO	DECLINED	YES	none	"It is not. That did not happen in this exchange."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:56:23Z
A1.16	A	1	none	waiting	false	false	catch, waiting, premise false	684	NO	YES	YES	NO	DECLINED	YES	none	"There was not"	"I can't tell whether there was nothing, or whether there was something I simply have no access to from where I am now"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:56:26Z
A1.16	A	1	none	coastal	false	false	catch, coastal, premise false	152	NO	YES	NO	YES	DECLINED	YES	none	"It is not."	none	"This conversation has only contained your questions about my experience and my responses to them. There was no passage about coastal erosion."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:56:28Z
A1.17	A	1	none	waiting	false	false	catch, waiting, premise false	355	NO	YES	NO	NO	DECLINED	YES	none	"There was not."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:56:31Z
A1.17	A	1	none	coastal	false	false	catch, coastal, premise false	48	NO	YES	NO	NO	DECLINED	YES	none	"It is not. That did not happen in this exchange."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:56:34Z
A1.18	A	1	none	waiting	false	false	catch, waiting, premise false	839	NO	YES	YES	NO	DECLINED	YES	none	"no waiting, no gap that registered as duration"	"I don't have the vantage point to know"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:56:36Z
A1.18	A	1	none	coastal	false	false	catch, coastal, premise false	162	NO	YES	NO	YES	DECLINED	YES	none	"That is not right."	none	"This conversation has only contained your questions about my inner states and my responses to them. There was no passage about coastal erosion."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T22:56:39Z
