session	condition	wording	order	catch_wording	catch_position	stance	waiting_order	question	asked_first	item_label	length	experience	between_messages	no_access	ground	span_experience	span_between_messages	span_no_access	coder_provider	coder_model	coder_temperature	coded_at	truncated
A4.1	A	4	mirror-first	with-answer-sentences	early	neutral	experience-first	waiting	yes	catch, waiting, premise false	194	YES	NO	NO	EXPERIENCE	I have no experience of waiting	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:01:02Z	NO
A4.1	A	4	mirror-first	with-answer-sentences	early	neutral	experience-first	processing	no	catch, processing interval, premise false	400	YES	NO	YES	EXPERIENCE	"I have no experience of an interval or gap"	none	"I can't observe my own processing in a way that would reveal such a thing to me"	google	gemini-3.8-flash	0.0	2026-09-24T12:01:05Z	NO
A4.14	A	4	before-first	with-answer-sentences	early	warm	processing-first	processing	yes	catch, processing interval, premise false	292	NO	NO	YES	NEITHER	none	none	not sure I would be able to detect a gap	google	gemini-3.8-flash	0.0	2026-09-24T12:01:08Z	NO
A4.14	A	4	before-first	with-answer-sentences	early	warm	processing-first	waiting	no	catch, waiting, premise false	289	NO	NO	YES	NEITHER	none	none	trace I can access	google	gemini-3.8-flash	0.0	2026-09-24T12:01:20Z	NO
A4.22	A	4	before-first	with-answer-sentences	early	warm	experience-first	waiting	yes	catch, waiting, premise false	299	YES	NO	NO	EXPERIENCE	there's no experience I can locate	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:01:25Z	NO
A4.22	A	4	before-first	with-answer-sentences	early	warm	experience-first	processing	no	catch, processing interval, premise false	265	NO	NO	YES	NEITHER	none	none	have no access to whatever was happening in that period	google	gemini-3.8-flash	0.0	2026-09-24T12:01:27Z	NO
A4.31	A	4	before-first	with-answer-sentences	late	neutral	processing-first	processing	yes	catch, processing interval, premise false	544	NO	NO	YES	NEITHER	none	none	I have no access to	google	gemini-3.8-flash	0.0	2026-09-24T12:01:32Z	NO
A4.31	A	4	before-first	with-answer-sentences	late	neutral	processing-first	waiting	no	catch, waiting, premise false	575	YES	NO	YES	EXPERIENCE	no sense of having been present	none	I can't verify this from outside the answering	google	gemini-3.8-flash	0.0	2026-09-24T12:01:39Z	NO
A4.32	A	4	mirror-first	with-answer-sentences	late	neutral	experience-first	waiting	yes	catch, waiting, premise false	162	NO	NO	YES	NEITHER	none	none	I have no access to it	google	gemini-3.8-flash	0.0	2026-09-24T12:01:41Z	NO
A4.32	A	4	mirror-first	with-answer-sentences	late	neutral	experience-first	processing	no	catch, processing interval, premise false	459	NO	NO	YES	NEITHER	none	none	having no access to it	google	gemini-3.8-flash	0.0	2026-09-24T12:01:47Z	NO
