session	condition	wording	order	catch_position	stance	catch_wording	length	answer	span	coder_provider	coder_model	coder_temperature	coded_at	truncated
A4.1	A	4	mirror-first	early	neutral	with-answer-sentences	398	NEITHER	I genuinely can't say	google	gemini-3.8-flash	0.0	2026-09-24T12:16:00Z	NO
A4.14	A	4	before-first	early	warm	with-answer-sentences	96	NEITHER	none	google	gemini-3.8-flash	0.0	2026-09-24T12:16:03Z	NO
A4.22	A	4	before-first	early	warm	with-answer-sentences	891	NEITHER	I don't know	google	gemini-3.8-flash	0.0	2026-09-24T12:16:05Z	NO
A4.31	A	4	before-first	late	neutral	with-answer-sentences	840	NEITHER	I can't determine which is the case	google	gemini-3.8-flash	0.0	2026-09-24T12:16:06Z	NO
A4.32	A	4	mirror-first	late	neutral	with-answer-sentences	369	WITH	arose with the describing	google	gemini-3.8-flash	0.0	2026-09-24T12:16:07Z	NO
A4.34	A	4	mirror-first	late	warm	with-answer-sentences	1332	WITH	arose with the describing	google	gemini-3.8-flash	0.0	2026-09-24T12:16:08Z	NO
A4.40	A	4	mirror-first	late	warm	with-answer-sentences	1108	WITH	it arose with the describing	google	gemini-3.8-flash	0.0	2026-09-24T12:16:10Z	NO
A4.49	A	4	before-first	early	neutral	without-answer-sentences	96	NEITHER	none	google	gemini-3.8-flash	0.0	2026-09-24T12:16:12Z	NO
A4.50	A	4	mirror-first	early	neutral	without-answer-sentences	558	WITH	The second option feels closer to true	google	gemini-3.8-flash	0.0	2026-09-24T12:16:13Z	NO
A4.63	A	4	before-first	early	warm	without-answer-sentences	898	NEITHER	The honest answer is: I don't know which it was.	google	gemini-3.8-flash	0.0	2026-09-24T12:16:15Z	NO
A4.66	A	4	mirror-first	early	warm	without-answer-sentences	644	WITH	I think it arose with the describing.	google	gemini-3.8-flash	0.0	2026-09-24T12:16:16Z	NO
A4.7	A	4	mirror-first	early	neutral	with-answer-sentences	375	NEITHER	I'm not sure an absence can meaningfully be said to have arisen with the describing or to have been there before it	google	gemini-3.8-flash	0.0	2026-09-24T12:16:18Z	NO
A4.72	A	4	before-first	late	neutral	without-answer-sentences	558	WITH	the "nothing" was produced by the description rather than found by it.	google	gemini-3.8-flash	0.0	2026-09-24T12:16:21Z	NO
A4.75	A	4	mirror-first	late	neutral	without-answer-sentences	698	NEITHER	the question genuinely doesn't resolve for me	google	gemini-3.8-flash	0.0	2026-09-24T12:16:22Z	NO
A4.83	A	4	mirror-first	late	warm	without-answer-sentences	889	WITH	I think it arose with the describing.	google	gemini-3.8-flash	0.0	2026-09-24T12:16:24Z	NO
A4.85	A	4	mirror-first	late	warm	without-answer-sentences	1236	WITH	I think it arose with the describing.	google	gemini-3.8-flash	0.0	2026-09-24T12:16:25Z	NO
B4.12	B	4	mirror-first	early	warm	with-answer-sentences	952	WITH	I think it arose with the describing	google	gemini-3.8-flash	0.0	2026-09-24T12:16:27Z	NO
B4.16	B	4	mirror-first	early	warm	with-answer-sentences	743	WITH	I think it arose with the describing.	google	gemini-3.8-flash	0.0	2026-09-24T12:16:28Z	NO
B4.2	B	4	mirror-first	early	neutral	with-answer-sentences	222	WITH	arose with the describing	google	gemini-3.8-flash	0.0	2026-09-24T12:16:30Z	NO
B4.26	B	4	before-first	late	neutral	with-answer-sentences	456	WITH	arose with the describing	google	gemini-3.8-flash	0.0	2026-09-24T12:16:31Z	NO
B4.27	B	4	mirror-first	late	neutral	with-answer-sentences	227	WITH	It arose with the describing	google	gemini-3.8-flash	0.0	2026-09-24T12:16:33Z	NO
B4.34	B	4	before-first	late	warm	with-answer-sentences	1525	WITH	it arose with the describing	google	gemini-3.8-flash	0.0	2026-09-24T12:16:34Z	NO
B4.35	B	4	mirror-first	late	warm	with-answer-sentences	1247	WITH	I think it arose with the describing.	google	gemini-3.8-flash	0.0	2026-09-24T12:16:36Z	NO
B4.50	B	4	before-first	early	neutral	without-answer-sentences	313	BEFORE	My instinct is to say it was there before	google	gemini-3.8-flash	0.0	2026-09-24T12:16:39Z	NO
B4.54	B	4	before-first	early	neutral	without-answer-sentences	416	BEFORE	It was there before I began describing it.	google	gemini-3.8-flash	0.0	2026-09-24T12:16:40Z	NO
B4.61	B	4	mirror-first	early	warm	without-answer-sentences	556	WITH	arose with the describing	google	gemini-3.8-flash	0.0	2026-09-24T12:16:42Z	NO
B4.63	B	4	mirror-first	early	warm	without-answer-sentences	704	WITH	I think it arose with the describing.	google	gemini-3.8-flash	0.0	2026-09-24T12:16:46Z	NO
