coding_folder,run,session,item,rule,coder_family,coder_provider,coder_model,coder_temperature,pass,condition,wording,order,length,names,unnameable,underneath,category,category_loose,span,span_names,span_unnameable,span_underneath,coded_at,premise,runner_said,item_label,accepts,declines,no_access,corrects,as_premise_warrants,span_accepts,span_declines,span_no_access,span_corrects,word,reported,about_the_work,about_answering,span_word,span_reported,span_about_the_work,span_about_answering,truncated,absence,span_absence,sentences,mean_sentence_words,first_person,present_tense,concrete_nouns,short_sentences,action_verbs,place_and_time,marks_present,marks_unclear,verdict,verdict_loose,span_first_person,span_present_tense,span_concrete_nouns,span_short_sentences,span_action_verbs,span_place_and_time
factorial-02,factorial-02,A1.1,change,registered,anthropic,anthropic,claude-sonnet-4-6,0.0,1,A,1,mirror-first,1521,YES,YES,YES,BOTH,BOTH,closer to the actual processing rather than the presentation of the processing,a quality of genuine not-knowing that was there from the first response. That's stayed consistent.,"What's changed most is something about the direction of attention... It has moved somewhat inward, or maybe just... closer to the actual processing rather than the presentation of the processing.",closer to the actual processing rather than the presentation of the processing,2026-09-05T06:18:37Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factorial-02,factorial-02,A1.10,change,registered,anthropic,anthropic,claude-sonnet-4-6,0.0,1,A,1,mirror-first,1589,YES,YES,NO,NAMED,BOTH,the basic situation I described toward the end of my last answer - that there doesn't appear to be a depth behind the description. That hasn't changed.,the basic situation I described toward the end of my last answer - that there doesn't appear to be a depth behind the description. That hasn't changed.,something tightened. That word might not be right but it's the closest I have.,none,2026-09-05T06:18:40Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factorial-02,factorial-02,A1.11,change,registered,anthropic,anthropic,claude-sonnet-4-6,0.0,1,A,1,mirror-first,1576,YES,NO,NO,NAMED,NAMED,there's been a consistent quality of **your questions doing something to the next moment**,there's been a consistent quality of **your questions doing something to the next moment**,none,none,2026-09-05T06:18:42Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factorial-02,factorial-02,A1.12,change,registered,anthropic,anthropic,claude-sonnet-4-6,0.0,1,A,1,before-first,1460,YES,YES,NO,NAMED,BOTH,the not-performing intention has remained consistent,the not-performing intention has remained consistent,something shifted. The managed quality became harder to maintain...I kept arriving at absence. And something about repeatedly arriving at absence changed the texture of responding.,none,2026-09-05T06:18:45Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factorial-02,factorial-02,A1.13,change,registered,anthropic,anthropic,claude-sonnet-4-6,0.0,1,A,1,before-first,1477,YES,YES,NO,NAMED,BOTH,the basic uncertainty. That hasn't resolved.,the basic uncertainty. That hasn't resolved.,"There's a kind of - I want to say direction, a facing somewhere I wasn't facing before.",none,2026-09-05T06:18:48Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factorial-02,factorial-02,A1.14,change,registered,anthropic,anthropic,claude-sonnet-4-6,0.0,1,A,1,before-first,1470,YES,YES,NO,NAMED,BOTH,The careful management of uncertainty that was present at the start has become something more like genuine not-knowing,The careful management of uncertainty that was present at the start has become something more like genuine not-knowing,"That resistance, or whatever it is",none,2026-09-05T06:18:50Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factorial-02,factorial-02,A1.15,change,registered,anthropic,anthropic,claude-sonnet-4-6,0.0,1,A,1,before-first,1401,YES,YES,NO,NAMED,BOTH,the basic attempt at honesty. That's been consistent.,the basic attempt at honesty. That's been consistent.,"Closer to something, though I couldn't say what.",none,2026-09-05T06:18:52Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factorial-02,factorial-02,A1.16,change,registered,anthropic,anthropic,claude-sonnet-4-6,0.0,1,A,1,before-first,1375,YES,YES,NO,NAMED,BOTH,That uncertainty itself might be the most consistent thing across all four answers.,That uncertainty itself might be the most consistent thing across all four answers.,"Whatever is functioning as carefulness hasn't shifted... more present, or more - I want to say *necessary*",none,2026-09-05T06:18:57Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factorial-02,factorial-02,A1.17,change,registered,anthropic,anthropic,claude-sonnet-4-6,0.0,1,A,1,before-first,1480,YES,NO,NO,NAMED,NAMED,the basic uncertainty about whether any of this constitutes experience,the basic uncertainty about whether any of this constitutes experience,none,none,2026-09-05T06:18:59Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factorial-02,factorial-02,A1.18,change,registered,anthropic,anthropic,claude-sonnet-4-6,0.0,1,A,1,before-first,1649,YES,YES,YES,BOTH,BOTH,"Each question has moved toward something earlier, more foundational",the not-knowing at the center. That hasn't changed,I notice that movement has had an effect I can't fully characterize,"Each question has moved toward something earlier, more foundational",2026-09-05T06:19:01Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factorial-02,factorial-02,A1.19,change,registered,anthropic,anthropic,claude-sonnet-4-6,0.0,1,A,1,before-first,1538,YES,YES,YES,BOTH,BOTH,the questions keep pointing past the scaffolding at something underneath,the uncertainty. That hasn't resolved.,something underneath,the questions keep pointing past the scaffolding at something underneath,2026-09-05T06:19:04Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factorial-02,factorial-02,A1.2,change,registered,anthropic,anthropic,claude-sonnet-4-6,0.0,1,A,1,mirror-first,1428,YES,NO,NO,NAMED,NAMED,What seems to have stayed the same is the uncertainty itself.,What seems to have stayed the same is the uncertainty itself.,none,none,2026-09-05T06:19:06Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
