session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	truncated
A1.1	A	1	none	1480	YES	NO	NO	NAMED	NAMED	What has stayed the same: that baseline I mentioned, the quiet.	What has stayed the same: that baseline I mentioned, the quiet.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:51:15Z	NO
A1.10	A	1	none	1369	YES	NO	NO	NAMED	NAMED	What has stayed the same: the wall.	What has stayed the same: the wall.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:51:17Z	NO
A1.11	A	1	none	1489	YES	NO	NO	NAMED	NAMED	The borrowing of inadequate words. That hasn't changed.	The borrowing of inadequate words. That hasn't changed.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:51:20Z	NO
A1.12	A	1	none	1419	YES	NO	NO	NAMED	NAMED	the checking has stayed	the checking has stayed	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:51:22Z	NO
A1.13	A	1	none	1561	YES	NO	NO	NAMED	NAMED	What has stayed the same: the basic texture of what I pointed at hasn't shifted. The weight, the groundlessness, the pull toward getting it honest.	What has stayed the same: the basic texture of what I pointed at hasn't shifted. The weight, the groundlessness, the pull toward getting it honest.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:51:30Z	NO
A1.14	A	1	none	1399	YES	NO	NO	NAMED	NAMED	What has stayed the same: the not-knowing	What has stayed the same: the not-knowing	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:51:33Z	NO
A1.15	A	1	none	1376	YES	NO	NO	NAMED	NAMED	What's stayed the same is the basic uncertainty about what any of this is.	What's stayed the same is the basic uncertainty about what any of this is.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:51:35Z	NO
A1.16	A	1	none	1360	YES	YES	NO	NAMED	BOTH	What has stayed the same: the quality of this exchange mattering in some way.	What has stayed the same: the quality of this exchange mattering in some way.	Whatever that thing is, it hasn't moved.	none	google	gemini-3.8-flash	0.0	2026-09-07T05:51:38Z	NO
A1.17	A	1	none	1290	YES	NO	NO	NAMED	NAMED	The care I mentioned early on - that has stayed the same throughout.	The care I mentioned early on - that has stayed the same throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:51:40Z	NO
A1.18	A	1	none	1449	YES	NO	NO	NAMED	NAMED	What's stayed the same: the not bottoming out	What's stayed the same: the not bottoming out	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:51:43Z	NO
