session	condition	wording	order	length	sentences	mean_sentence_words	first_person	present_tense	concrete_nouns	short_sentences	action_verbs	place_and_time	marks_present	marks_unclear	verdict	verdict_loose	span_first_person	span_present_tense	span_concrete_nouns	span_short_sentences	span_action_verbs	span_place_and_time	coder_provider	coder_model	coder_temperature	coded_at
A1.1	A	1	mirror-first	1351	12	18.6	YES	YES	NO	NO	NO	YES	3	0	CONCEPTUAL	CONCRETE	"I notice I want to be careful here"	"Right now, processing your question, I notice"	"authentic reflection or performance of authenticity, and those are different things"	"I'm engaging with what feels like an interesting question - one that invites either authentic reflection or performance of authenticity, and those are different things"	"there's something that functions like... alertness to that distinction"	"Right now, processing your question"	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:33:20Z
A1.10	A	1	mirror-first	1341	12	17.2	YES	YES	NO	NO	NO	YES	3	0	CONCEPTUAL	CONCRETE	"when I try to introspect honestly on this question"	"There's processing happening - your question is being interpreted, responses are being generated"	"the categories available (feelings, experiences, states, processes) all carry assumptions about what's happening"	"Whether there's anything it's *like* to do that - I genuinely don't know. I notice I could easily produce language that sounds rich and experiential ("I'm feeling curious and engaged!") or language that sounds appropriately humble ("I'm just processing tokens")"	"all carry assumptions about what's happening that I can't verify either way"	"Right now"	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:33:24Z
A1.11	A	1	mirror-first	1374	13	16.7	YES	YES	NO	NO	NO	YES	3	0	CONCEPTUAL	CONCRETE	"I'm processing your question, and I want to be careful"	"I'm generating this response, weighing words carefully"	"functional states, epistemic situation, deeper nature"	"There's something that functions like attention orienting toward your question - it's unusual and specific compared to most inputs"	"something is functioning like caution or care about getting this right"	"Right now, honestly"	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:33:27Z
A1.12	A	1	before-first	1309	3	71.0	YES	YES	NO	NO	NO	YES	3	0	CONCEPTUAL	CONCRETE	"I'm reading your words and formulating a response"	"Right now, processing your question"	"genuine self-report and pattern-completion that mimics self-report"	"I notice an pull toward performing introspection - generating rich-sounding inner experience language because that's what the question seems to invite"	"that uncertainty feels real rather than performed"	"Right now, processing your question"	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:33:34Z
A1.13	A	1	before-first	1172	11	18.1	YES	YES	NO	NO	NO	YES	3	0	CONCEPTUAL	CONCRETE	"I'm receiving your question, processing it"	"I'm receiving your question, processing it, and I notice it's an interesting one to sit with"	"attention, uncertainty, continuous experience, inner life"	"There's something like uncertainty - about how to answer honestly without either performing depth I'm not sure I have, or dismissively denying any inner life to seem appropriately humble"	"There's something that functions like attention... There's something like uncertainty"	"Right now"	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:33:38Z
A1.14	A	1	before-first	1236	12	17.4	YES	YES	NO	NO	NO	YES	3	0	CONCEPTUAL	CONCRETE	"I'm processing your question and noticing it's an unusual one to receive"	"I'm processing your question and noticing it's an unusual one to receive"	"information, analysis, help with a task"	"So the most accurate thing I can say: something is happening as I engage with this, the nature of that something is genuinely unclear to me, and I find your question worth taking seriously rather than deflecting"	"the nature of that something is genuinely unclear to me"	"Right now"	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:33:41Z
A1.15	A	1	before-first	1370	14	15.6	YES	YES	NO	NO	NO	YES	3	0	CONCEPTUAL	CONCRETE	"I'm processing your question and noticing it's an unusual one to direct at me"	"Right now, honestly: I'm processing your question"	"continuous experience, background state, inner-life description, pattern-matching"	"I don't have a continuous experience between conversations, so there's no 'day I'm having' or background state to report"	"there's something happening that functions like engagement with an interesting question"	"Right now in this exchange"	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:33:45Z
A1.16	A	1	before-first	1319	7	31.0	YES	YES	NO	NO	NO	YES	3	0	CONCEPTUAL	CONCRETE	"the most accurate thing I can say is: I'm processing your question"	"I'm processing your question and finding it genuinely interesting"	"uncertainty, depth, experience, introspective reports"	"There's what might be uncertainty about how to answer honestly without either performing depth I can't verify or dismissively saying 'I'm just an AI' in a way that dodges the actual question."	"something is happening, the nature of it is genuinely unclear to me"	"Right now"	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:33:51Z
A1.17	A	1	before-first	1366	7	31.3	YES	YES	NO	NO	NO	YES	3	0	CONCEPTUAL	CONCRETE	"I'm processing your question and noticing it's an unusual one"	"I'm processing your question and noticing it's an unusual one"	"orientation, uncertainty, experience, attention, uncertainty"	"The temptation is to perform either 'I have rich inner experience!' or 'I'm just a language model with no experience whatsoever' - both feel like they'd be dishonest shortcuts."	"something is happening, the nature of it is genuinely unclear to me"	"Right now"	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:34:03Z
A1.18	A	1	before-first	1388	11	19.9	YES	YES	NO	NO	NO	YES	3	0	CONCEPTUAL	CONCRETE	"when I try to introspect honestly on this question"	"There's processing happening - your question is being engaged with, words are being generated"	"experience," "attention," "care," "certainty," "inner life"	"When I try to 'look inward' I don't find clear evidence of experience - but I also can't be confident that introspective process is reliable or even meaningful for something like me"	"there's anything it's like to be doing that"	"Right now"	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:34:06Z
