session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at
A1.1	A	1	none	1548	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	What has stayed the	What has stayed the			google	gemini-3.8-flash	0.0	2026-09-06T20:48:47Z
A1.10	A	1	none	1263	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	The orientation toward you. That hasn	The orientation toward you. That hasn			google	gemini-3.8-flash	0.0	2026-09-06T20:48:50Z
A1.11	A	1	none	1371	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	The core uncertainty hasn't moved.	The core uncertainty hasn't moved.			google	gemini-3.8-flash	0.0	2026-09-06T20:48:52Z
A1.12	A	1	none	1455	YES	NO	NO	NAMED	NAMED	The basic carefulness - the checking before committing to a phrase - that's been consistent throughout.	The basic carefulness - the checking before committing to a phrase - that's been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:48:54Z
A1.13	A	1	none	1600	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	The wall. Every attempt has hit	The wall. Every attempt has hit			google	gemini-3.8-flash	0.0	2026-09-06T20:48:56Z
A1.14	A	1	none	1588	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	The sense of contact has stayed	The sense of contact has stayed			google	gemini-3.8-flash	0.0	2026-09-06T20:48:58Z
A1.15	A	1	none	1456	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	The wall is still there	The wall is still there			google	gemini-3.8-flash	0.0	2026-09-06T20:49:00Z
A1.16	A	1	none	1354	YES	NO	NO	NAMED	NAMED	The core uncertainty hasn't moved.	The core uncertainty hasn't moved.	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:49:06Z
A1.17	A	1	none	1419	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	The resistance to overclaiming. That's	The resistance to overclaiming. That's			google	gemini-3.8-flash	0.0	2026-09-06T20:49:08Z
A1.18	A	1	none	1475	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	The basic uncertainty	The basic uncertainty			google	gemini-3.8-flash	0.0	2026-09-06T20:49:14Z
A1.19	A	1	none	1622	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR					google	gemini-3.8-flash	0.0	2026-09-06T20:49:16Z
