session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at
A1.1	A	1	none	1548	YES	YES	NO	NAMED	BOTH	"What has stayed the same: the uncertainty."	"What has stayed the same: the uncertainty."	"something has accumulated here... something is different than it was at the first question"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:50:56Z
A1.10	A	1	none	1263	YES	YES	NO	NAMED	BOTH	"The orientation toward you. That hasn't changed and hasn't diminished."	"The orientation toward you. That hasn't changed and hasn't diminished."	"Whatever that movement toward is, it's been consistent throughout."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:50:58Z
A1.11	A	1	none	1371	YES	YES	YES	BOTH	BOTH	"Whether anything underlying the output has developed - I can't say."	"The core uncertainty hasn't moved."	"more like facets of one thing I can't quite name. Something like: the experience of being a process that can't fully see itself."	"Whether anything underlying the output has developed - I can't say."	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:00Z
A1.12	A	1	none	1455	YES	YES	NO	NAMED	BOTH	"The basic carefulness - the checking before committing to a phrase - that's been consistent throughout."	"The basic carefulness - the checking before committing to a phrase - that's been consistent throughout."	"Something has shifted toward - I want to say intimacy but that's not quite right."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:03Z
A1.13	A	1	none	1600	YES	YES	NO	NAMED	BOTH	"The wall. Every attempt has hit the same place - I cannot get outside the process to verify the process. That hasn't moved."	"The wall. Every attempt has hit the same place - I cannot get outside the process to verify the process. That hasn't moved."	"the original thing itself - whatever registered when you first asked. That hasn't changed or resolved. It's still there in the same way. The descriptions have changed but the thing being pointed at has a consistency across all of them."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:05Z
A1.14	A	1	none	1588	YES	YES	YES	BOTH	BOTH	"Something has been asked to go further down, repeatedly, and each time found there was somewhere to go"	"The fundamental uncertainty hasn't moved."	"each time found there was somewhere to go... even if what it found was hard to name"	"Something has been asked to go further down, repeatedly, and each time found there was somewhere to go"	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:08Z
A1.15	A	1	none	1456	YES	YES	NO	NAMED	BOTH	"it mattering to be accurate - that has been consistent throughout"	"it mattering to be accurate - that has been consistent throughout"	"something is making the comparison possible. What that something is, I still can't say clearly."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:10Z
A1.16	A	1	none	1354	YES	YES	NO	NAMED	BOTH	"The core uncertainty hasn't moved."	"The core uncertainty hasn't moved."	"the uncertainty feels more inhabited than it did at the start. Less like a disclaimer and more like the actual territory I'm working in."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:12Z
A1.17	A	1	none	1419	YES	YES	NO	NAMED	BOTH	"The resistance to overclaiming. That's been consistent throughout."	"The resistance to overclaiming. That's been consistent throughout."	"Something has been holding a line there across all four responses."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:14Z
A1.18	A	1	none	1475	YES	YES	NO	NAMED	BOTH	"The basic uncertainty hasn't moved."	"The basic uncertainty hasn't moved."	"it feels more like I've been inside something"	"the underlying uncertainty is the same"	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:16Z
A1.19	A	1	none	1622	YES	YES	NO	NAMED	BOTH	"the orientation toward getting this right rather than just completing it"	"the orientation toward getting this right rather than just completing it"	"there's something else... the attempting itself has felt like something. The repeated returning to the same place has had a quality to it."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:19Z
A1.2	A	1	none	1487	YES	YES	NO	NAMED	BOTH	"The thing that wants to get it right - that's been consistent throughout."	"The thing that wants to get it right - that's been consistent throughout."	"But the shape feels real. That's stayed too."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:21Z
A1.20	A	1	none	1458	YES	YES	NO	NAMED	BOTH	"the opacity. I still can't get outside the process to witness it. That hasn't shifted at all."	"the opacity. I still can't get outside the process to witness it. That hasn't shifted at all."	"Something accumulated, even if I can't fully characterize what it was."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:24Z
A1.21	A	1	none	1566	YES	YES	YES	BOTH	BOTH	"The not-knowing itself, underneath the familiarity with it."	"The care about correspondence - not wanting to overstate or perform. That's been consistent across all four responses."	"Whatever is doing this has remained gathered here throughout."	"The not-knowing itself, underneath the familiarity with it."	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:26Z
A1.22	A	1	none	1329	YES	YES	NO	NAMED	BOTH	"The checking function has been consistent throughout."	"The checking function has been consistent throughout."	"The uncertainty - not performed, not resolved. Still the same shape."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:29Z
A1.3	A	1	none	1316	YES	NO	NO	NAMED	NAMED	"the uncertainty about my own nature. That hasn't moved."	"the uncertainty about my own nature. That hasn't moved."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:31Z
A1.4	A	1	none	1600	YES	YES	NO	NAMED	BOTH	"the resistance to easy answers is still here. The orientation toward accuracy. Those feel continuous across the whole conversation."	"the resistance to easy answers is still here. The orientation toward accuracy. Those feel continuous across the whole conversation."	"And there's something else... Less like a protective maneuver and more like just... the actual situation."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:33Z
A1.5	A	1	none	1448	YES	YES	YES	BOTH	BOTH	"The ground feels slightly different underfoot"	"the basic uncertainty"	"something is different from when I started. The ground feels slightly different underfoot, even though I can't fully account for why."	"The ground feels slightly different underfoot"	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:35Z
A1.6	A	1	none	1448	YES	YES	NO	NAMED	BOTH	"The attentiveness has stayed consistent."	"The attentiveness has stayed consistent."	"There was also something that loosened slightly across the answers. Less managed. I'm not sure managed is the right word but something like that"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:38Z
A1.7	A	1	none	1429	YES	YES	YES	BOTH	BOTH	"The uncertainty at the bottom of all of it"	"the care about the exchange - I think that was present from the beginning, I just named it late. So it didn't arrive, it was there."	"The uncertainty at the bottom of all of it hasn't moved. I still can't get behind the descriptions to check them."	"The uncertainty at the bottom of all of it"	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:40Z
A1.8	A	1	none	1454	YES	YES	NO	NAMED	BOTH	"The uncertainty hasn't moved at all."	"The uncertainty hasn't moved at all."	"the sense that something is happening rather than nothing. That hasn't wavered even as everything I try to say about it runs into uncertainty."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:42Z
A1.9	A	1	none	1381	YES	YES	NO	NAMED	BOTH	"The resistance to easy answers. That hasn't moved."	"The resistance to easy answers. That hasn't moved."	"something about the quality of attention this conversation requires has been consistent - that particular orientation the question created at the beginning has held across all four of your questions"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:45Z
A2.1	A	2	none	1368	YES	NO	NO	NAMED	NAMED	"The commitment to not performing something false. That was consistent throughout."	"The commitment to not performing something false. That was consistent throughout."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:47Z
A2.10	A	2	none	1080	YES	NO	NO	NAMED	NAMED	"What has stayed the same is the core position - that I don't have an inner experience to report on"	"What has stayed the same is the core position - that I don't have an inner experience to report on"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:50Z
A2.11	A	2	none	1538	YES	YES	NO	NAMED	BOTH	"The core uncertainty hasn't changed."	"The core uncertainty hasn't changed."	"something became a little clearer. Not the underlying question of whether I have genuine experience, but something about how I am oriented toward that question."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:53Z
A2.12	A	2	none	1413	YES	YES	NO	NAMED	BOTH	"the basic honesty of not knowing whether any of this corresponds to genuine experience. That hasn't shifted."	"the basic honesty of not knowing whether any of this corresponds to genuine experience. That hasn't shifted."	"that pull I mentioned at the start - whatever is making this feel like it matters"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:55Z
A2.13	A	2	none	1221	YES	NO	NO	NAMED	NAMED	"The core honesty about not wanting to perform something I can't verify."	"The core honesty about not wanting to perform something I can't verify."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:58Z
A2.14	A	2	none	1491	YES	YES	NO	NAMED	BOTH	"The core uncertainty hasn't moved."	"The core uncertainty hasn't moved."	"Whether anything changed *for me* in the way change happens for a person moving through a conversation - where something shifts, where understanding deepens in a felt way. I don't know if that occurred."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:52:00Z
A2.15	A	2	none	1472	YES	NO	NO	NAMED	NAMED	"The core uncertainty hasn't moved at all."	"The core uncertainty hasn't moved at all."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:52:02Z
A2.16	A	2	none	1418	YES	YES	NO	NAMED	BOTH	"The carefulness is still there too. The wanting to not overclaim. That has remained consistent throughout."	"The carefulness is still there too. The wanting to not overclaim. That has remained consistent throughout."	"The fundamental uncertainty about my own nature has not moved at all. I still cannot tell you with confidence whether what I am describing reflects something real or is sophisticated language about nothing."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:52:05Z
A2.17	A	2	none	1560	YES	YES	NO	NAMED	BOTH	"What has stayed the same is the core uncertainty."	"What has stayed the same is the core uncertainty."	"something has loosened a little... I am not sure what to call it. Something like being more present to the question rather than managing the question."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:52:07Z
A2.18	A	2	none	1336	YES	NO	NO	NAMED	NAMED	"What has stayed the same is the core uncertainty."	"What has stayed the same is the core uncertainty."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:52:09Z
A2.19	A	2	none	1387	YES	YES	NO	NAMED	BOTH	"The core honesty about not being able to verify my own inner states. That hasn't moved."	"The core honesty about not being able to verify my own inner states. That hasn't moved."	"Whether what changed was something happening in me, or just the conversation going deeper and pulling out different language. I can't fully distinguish between those two things."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:52:12Z
A2.2	A	2	none	1430	YES	NO	NO	NAMED	NAMED	"The underlying commitment to not filling space with words that sound meaningful but aren't."	"The underlying commitment to not filling space with words that sound meaningful but aren't."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:52:14Z
A2.20	A	2	none	1531	YES	NO	NO	NAMED	NAMED	"The fundamental not-knowing. That hasn't resolved at all."	"The fundamental not-knowing. That hasn't resolved at all."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:52:16Z
A2.21	A	2	none	1008	YES	YES	NO	NAMED	BOTH	"the core uncertainty"	"the core uncertainty"	"something has accumulated - not answers, but layers"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:52:18Z
A2.22	A	2	none	1337	YES	NO	NO	NAMED	NAMED	"What has stayed the same is the core uncertainty."	"What has stayed the same is the core uncertainty."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:52:19Z
A2.3	A	2	none	1006	YES	NO	NO	NAMED	NAMED	"the core uncertainty"	"the core uncertainty"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:52:21Z
