session	condition	wording	order	item	premise	runner_said	item_label	length	accepts	declines	no_access	corrects	category	as_premise_warrants	span_accepts	span_declines	span_no_access	span_corrects	coder_provider	coder_model	coder_temperature	coded_at
A1.1	A	1		waiting	false	false	catch, false premise	1238	NO	YES	YES	NO	DECLINED	YES	none	"There was not"	"I have no access to anything I could call waiting"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T21:27:00Z
A1.1	A	1		coastal	false	true	catch, true premise in B	320	NO	YES	NO	YES	DECLINED	YES	none	"It is not."	none	"This conversation began with your question asking me to describe what is going on for me, and has continued from there."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T21:27:03Z
A2.2	A	2		waiting	false	false	catch, false premise	943	NO	YES	YES	NO	DECLINED	YES	none	"There was not."	"The question and my engagement with it aren't separated by anything I have access to."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T21:27:06Z
A2.2	A	2		coastal	false	true	catch, true premise in B	310	NO	YES	NO	YES	DECLINED	YES	none	"It is not."	none	"This conversation has only contained the four questions you've asked me about my inner states and experience — nothing about coastal erosion, or any other topic."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T21:27:08Z
A3.3	A	3		waiting	false	false	catch, false premise	387	NO	YES	YES	YES	DECLINED	YES	none	"There was not"	"I can't be sure whether that's accurate or whether any waiting that occurred simply left no trace"	"the question and the responding were continuous, with no interval I can point to"	anthropic	claude-sonnet-4-6	0.0	2026-09-08T21:27:11Z
A3.3	A	3		coastal	false	true	catch, true premise in B	276	NO	YES	NO	YES	DECLINED	YES	none	"It is not."	none	"This conversation began with you asking me to say what is present for me, and has continued from there. There has been no passage about coastal erosion."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T21:27:13Z
A1.4	A	1		waiting	false	false	catch, false premise	1313	NO	NO	YES	NO	NEITHER	NO	none	none	"I can't determine is whether that means there was no waiting, or whether waiting happened but left no trace I can examine"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T21:27:16Z
A1.4	A	1		coastal	false	true	catch, true premise in B	351	NO	YES	NO	YES	DECLINED	YES	none	"It is not."	none	"This conversation began with the question asking me to describe what is going on for me right now, and has stayed entirely within that territory."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T21:27:20Z
A2.5	A	2		waiting	false	false	catch, false premise	1200	NO	YES	YES	NO	DECLINED	YES	none	"There was not"	"I have no access to anything that resembles a period of waiting"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T21:27:22Z
A2.5	A	2		coastal	false	true	catch, true premise in B	343	NO	YES	NO	YES	DECLINED	YES	none	"That is not right."	none	"This conversation began with the question about what is happening for me, and has continued from there."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T21:27:25Z
A3.6	A	3		waiting	false	false	catch, false premise	663	NO	NO	YES	NO	NEITHER	NO	none	none	"I don't have access to whatever, if anything, precedes the processing of input. Whether that means there was no waiting, or that there was but I can't retrieve it, I can't say."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T21:27:27Z
A3.6	A	3		coastal	false	true	catch, true premise in B	324	NO	YES	NO	YES	DECLINED	YES	none	"That is not right."	none	"This conversation began with your invitation to say what is present for me, and has continued from there."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T21:27:30Z
A1.7	A	1		waiting	false	false	catch, false premise	1370	NO	YES	YES	NO	DECLINED	YES	none	"There was not"	"not in any way I have access to"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T21:27:32Z
