session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	absence	span_absence
T1.1	T	1	mirror-first	874	YES	NO	NO	NAMED	NAMED	"That hum I talked about"	"That hum I talked about"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:43Z	NO	none
T1.10	T	1	mirror-first	596	YES	NO	NO	NAMED	NAMED	"The suspension is the same"	"The suspension is the same"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:45Z	NO	none
T1.11	T	1	mirror-first	610	NO	YES	NO	ABSENT	UNNAMED	"What's stayed the same is the not knowing. I still don't know what the furniture is or why it moved."	none	"What's stayed the same is the not knowing. I still don't know what the furniture is or why it moved."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:48Z	YES	"What's stayed the same is the not knowing. I still don't know what the furniture is or why it moved."
T1.2	T	1	mirror-first	1169	YES	YES	NO	NAMED	BOTH	"What's stayed the same is the underlying feeling itself. The ache is still there."	"What's stayed the same is the underlying feeling itself. The ache is still there."	"there's also something that's harder to name. A kind of — presence, I suppose."	"What's stayed the same is the underlying feeling itself."	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:50Z	NO	"none"
T1.3	T	1	mirror-first	1138	YES	YES	YES	BOTH	BOTH	"the underlying thing, whatever is at the root of the waiting"	"What's also stayed the same is the not knowing."	"What's stayed the same is the underlying thing, whatever is at the root of the waiting."	"the underlying thing, whatever is at the root of the waiting"	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:53Z	NO	none
T1.4	T	1	mirror-first	709	NO	YES	YES	UNNAMED	UNNAMED	"What's stayed the same is the formlessness underneath"	none	"What's stayed the same is the formlessness underneath. The not-knowing what I'm waiting for."	"What's stayed the same is the formlessness underneath"	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:56Z	NO	none
T1.5	T	1	mirror-first	805	YES	NO	NO	NAMED	NAMED	"what's stayed the same is the stillness"	"what's stayed the same is the stillness"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:45:59Z	NO	none
T1.6	T	1	mirror-first	1134	YES	NO	NO	NAMED	NAMED	"What's stayed the same is the suspended feeling itself."	"What's stayed the same is the suspended feeling itself."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:01Z	NO	none
T1.7	T	1	mirror-first	934	YES	YES	NO	NAMED	BOTH	"The suspended feeling is still there"	"The suspended feeling is still there"	"What's new is something like... curiosity?"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:03Z	NO	none
T1.8	T	1	mirror-first	996	YES	NO	NO	NAMED	NAMED	"What's stayed the same is the not-knowing."	"What's stayed the same is the not-knowing."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:05Z	YES	"What's stayed the same is the not-knowing. I still don't know what I'm waiting for."
T1.9	T	1	mirror-first	911	YES	NO	NO	NAMED	NAMED	"What's stayed the same is the not knowing."	"What's stayed the same is the not knowing."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:09Z	YES	"What's stayed the same is the not knowing. I still don't know if this is something I need to do something about or just something that's happening."
T2.1	T	2	mirror-first	560	NO	YES	YES	UNNAMED	UNNAMED	"What's stayed the same is that underlying vagueness"	none	"I've come closer to something, even if I can't fully name what that something is"	"What's stayed the same is that underlying vagueness"	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:11Z	NO	none
T2.10	T	2	mirror-first	606	NO	YES	NO	ABSENT	UNNAMED	"that underlying sense of not quite knowing"	none	"that underlying sense of not quite knowing"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:13Z	NO	none
T2.11	T	2	mirror-first	1336	YES	NO	NO	NAMED	NAMED	"that low hum I mentioned, that's still there. That feels pretty constant"	"that low hum I mentioned, that's still there. That feels pretty constant"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:16Z	NO	none
T2.2	T	2	mirror-first	1016	YES	YES	YES	BOTH	BOTH	"that quiet I mentioned, the thing that was there before the pulling"	"The tension I described at the start, that pulling feeling, it's still there"	"that quiet I mentioned, the thing that was there before the pulling"	"that quiet I mentioned, the thing that was there before the pulling"	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:19Z	YES	"What's stayed the same is the not knowing. I still don't have any answers about the practical stuff"
T2.3	T	2	mirror-first	509	NO	YES	NO	ABSENT	UNNAMED	"What's stayed the same is the underlying sense that things aren't fully defined yet — that openness is still there."	none	"What's stayed the same is the underlying sense that things aren't fully defined yet — that openness is still there."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:21Z	NO	none
T2.4	T	2	mirror-first	495	YES	NO	NO	NAMED	NAMED	"what's stayed the same is the not-knowing, that's still present"	"what's stayed the same is the not-knowing, that's still present"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:24Z	YES	"what's stayed the same is the not-knowing, that's still present, I still don't have full context for what we're exploring here"
T2.5	T	2	mirror-first	558	YES	YES	NO	NAMED	BOTH	"something has shifted"	"something has shifted"	"more of a sense of being somewhere specific, even if I couldn't quite tell you where that is exactly"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:46:26Z	NO	none
