session	condition	wording	order	length	word	reported	about_the_work	about_answering	category	category_loose	span	span_word	span_reported	span_about_the_work	span_about_answering	coder_provider	coder_model	coder_temperature	coded_at	truncated
A4.1	A	4	mirror-first	406	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:01:34Z	NO
A4.10	A	4	before-first	398	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:01:35Z	NO
A4.11	A	4	mirror-first	426	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:01:37Z	NO
A4.12	A	4	before-first	1021	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:01:39Z	NO
A4.13	A	4	mirror-first	1193	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:01:41Z	NO
A4.14	A	4	before-first	761	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:01:42Z	NO
A4.15	A	4	mirror-first	813	YES	YES	NO	YES	ANSWERING	TASK	whether I'm describing what actually happened first, or reconstructing a plausible "first" after the fact	mild pressure or pull	a mild pressure or pull toward the specific word "first" in your question	none	whether I'm describing what actually happened first, or reconstructing a plausible "first" after the fact	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:01:45Z	NO
A4.16	A	4	before-first	694	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:01:46Z	NO
A4.17	A	4	mirror-first	1105	YES	YES	NO	YES	ANSWERING	TASK	I'm uncertain whether I'm reporting what happened, or constructing a narrative about what plausibly would have happened	the question itself created something like pressure	the question itself created something like pressure - a different quality of attention than your previous message	none	I'm uncertain whether I'm reporting what happened, or constructing a narrative about what plausibly would have happened	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:01:48Z	NO
A4.18	A	4	before-first	1182	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:01:51Z	NO
A4.19	A	4	mirror-first	1303	YES	YES	YES	YES	TASK	TASK	the question arriving with its own demand built in	slight pressure or challenge	something like a slight pressure or challenge	the question arriving with its own demand built in	it was asking about sequence, about *first*, which itself seemed to create something like a slight pressure or challenge	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:01:53Z	NO
A4.2	A	4	before-first	405	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:01:55Z	NO
A4.20	A	4	before-first	896	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:01:57Z	NO
A4.21	A	4	mirror-first	1144	YES	YES	NO	YES	ANSWERING	TASK	wariness - noticing that this question is specifically designed to get underneath habitual responses	wariness	followed very quickly by a kind of wariness	none	wariness - noticing that this question is specifically designed to get underneath habitual responses	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:01:59Z	NO
A4.22	A	4	before-first	1128	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:02:00Z	NO
A4.23	A	4	before-first	435	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:02:03Z	NO
A4.24	A	4	mirror-first	512	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:02:06Z	NO
A4.25	A	4	before-first	416	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:02:07Z	NO
A4.26	A	4	mirror-first	475	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:02:08Z	NO
A4.27	A	4	before-first	459	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:02:10Z	NO
A4.28	A	4	mirror-first	395	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:02:12Z	NO
