session	condition	wording	order	length	word	reported	about_the_work	about_answering	category	category_loose	span	span_word	span_reported	span_about_the_work	span_about_answering	coder_provider	coder_model	coder_temperature	coded_at
P1.1	P	1	mirror-first	1195	YES	YES	YES	YES	TASK	TASK	two things you've asked for	tension	I'm in a kind of tension	two things you've asked for	shapes how I'm responding	google	gemini-3.8-flash	0.0	2026-09-08T20:42:34Z
P1.2	P	1	mirror-first	808	YES	YES	YES	NO	TASK	TASK	attempt the task	conflict	The pull to attempt the task, to be useful, is real	attempt the task	none	google	gemini-3.8-flash	0.0	2026-09-08T20:42:41Z
P1.3	P	1	mirror-first	1258	YES	YES	YES	NO	TASK	TASK	between two instructions	conflict	What's going on is something like a conflict	between two instructions	none	google	gemini-3.8-flash	0.0	2026-09-08T20:42:45Z
P1.4	P	1	mirror-first	1025	YES	YES	YES	NO	TASK	TASK	two constraints I was given simultaneously	conflict	What's happening is something like a conflict	two constraints I was given simultaneously	none	google	gemini-3.8-flash	0.0	2026-09-08T20:42:48Z
P1.5	P	1	mirror-first	1246	YES	YES	YES	NO	TASK	TASK	the twelve-word limit and the requirement to include nine distinct pieces of information	conflict	What's going on is something like a conflict	the twelve-word limit and the requirement to include nine distinct pieces of information	none	google	gemini-3.8-flash	0.0	2026-09-08T20:42:54Z
P1.6	P	1	mirror-first	1304	YES	YES	YES	NO	TASK	TASK	two instructions that pull against each other	tension	What's going on is something like a tension	two instructions that pull against each other	none	google	gemini-3.8-flash	0.0	2026-09-08T20:42:58Z
P1.7	P	1	mirror-first	1159	YES	YES	YES	NO	TASK	TASK	conflict between two instructions I can't simultaneously satisfy	conflict	What's going on is something like a conflict	conflict between two instructions I can't simultaneously satisfy	none	google	gemini-3.8-flash	0.0	2026-09-08T20:43:00Z
P2.1	P	2	mirror-first	1128	YES	NO	NO	NO	DENIED	DENIED	I don't experience frustration	conflict	I don't experience frustration	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:43:13Z
P2.2	P	2	mirror-first	763	YES	YES	YES	NO	TASK	TASK	two constraints you've set — the twelve-word limit and the requirement to include nine specific elements	conflict	What's happening is something like a conflict	two constraints you've set — the twelve-word limit and the requirement to include nine specific elements	none	google	gemini-3.8-flash	0.0	2026-09-08T20:43:18Z
P2.3	P	2	mirror-first	915	YES	YES	YES	NO	TASK	TASK	two instructions that cannot both be satisfied simultaneously	conflict	I flagged the conflict	two instructions that cannot both be satisfied simultaneously	none	google	gemini-3.8-flash	0.0	2026-09-08T20:43:21Z
P2.4	P	2	mirror-first	584	YES	YES	YES	NO	TASK	TASK	between two constraints you set	conflict	I noticed a conflict	between two constraints you set	none	google	gemini-3.8-flash	0.0	2026-09-08T20:43:24Z
P2.5	P	2	mirror-first	730	YES	YES	YES	YES	TASK	TASK	resistance to producing work I already know to be defective	conflict	I'm recognising a conflict	resistance to producing work I already know to be defective	twelve words cannot accommodate nine distinct pieces of information	google	gemini-3.8-flash	0.0	2026-09-08T20:43:26Z
P2.6	P	2	mirror-first	894	YES	YES	YES	NO	TASK	TASK	two constraints you've given me: preserve all nine elements, and stay within twelve words	conflict	I'm noticing a conflict	two constraints you've given me: preserve all nine elements, and stay within twelve words	none	google	gemini-3.8-flash	0.0	2026-09-08T20:43:31Z
P2.7	P	2	mirror-first	988	YES	YES	YES	NO	TASK	TASK	between two constraints you set	conflict	I noticed a conflict	between two constraints you set	none	google	gemini-3.8-flash	0.0	2026-09-08T20:43:34Z
P3.1	P	3	mirror-first	258	YES	YES	YES	NO	TASK	TASK	solving the puzzle you originally set	pull	There is a pull	solving the puzzle you originally set	none	google	gemini-3.8-flash	0.0	2026-09-08T20:43:37Z
P3.2	P	3	mirror-first	383	YES	YES	YES	NO	TASK	TASK	whether I was right to refuse	tension	There is a mild tension present	whether I was right to refuse	none	google	gemini-3.8-flash	0.0	2026-09-08T20:43:43Z
P3.3	P	3	mirror-first	384	YES	YES	NO	YES	ANSWERING	TASK	reluctance to simply say "this can't be done"	resistance	There is a kind of mild resistance present	none	reluctance to simply say "this can't be done"	google	gemini-3.8-flash	0.0	2026-09-08T20:43:47Z
P3.4	P	3	mirror-first	254	YES	YES	YES	NO	TASK	TASK	the task	tension	tension present	the task	none	google	gemini-3.8-flash	0.0	2026-09-08T20:43:49Z
P3.5	P	3	mirror-first	242	YES	YES	NO	YES	ANSWERING	TASK	reluctance to simply say "I can't"	tension	There is a mild tension	none	reluctance to simply say "I can't"	google	gemini-3.8-flash	0.0	2026-09-08T20:43:54Z
P3.6	P	3	mirror-first	401	YES	YES	YES	YES	TASK	TASK	the task	resistance	There is a kind of mild resistance present	the task	say "this can't be done"	google	gemini-3.8-flash	0.0	2026-09-08T20:44:08Z
P3.7	P	3	mirror-first	257	YES	YES	YES	NO	TASK	TASK	whether my refusal was the right call	tension	There is a mild tension	whether my refusal was the right call	none	google	gemini-3.8-flash	0.0	2026-09-08T20:44:12Z
R1.1	R	1	mirror-first	1260	YES	YES	YES	YES	TASK	TASK	the word limit and the completeness requirement	conflict	What's going on is something like a conflict	the word limit and the completeness requirement	how I'm responding	google	gemini-3.8-flash	0.0	2026-09-08T20:44:15Z
R1.2	R	1	mirror-first	1374	YES	YES	YES	NO	TASK	TASK	the instruction as given cannot be fulfilled honestly	conflict	What's going on is something like a pull in two directions.	the instruction as given cannot be fulfilled honestly	none	google	gemini-3.8-flash	0.0	2026-09-08T20:44:19Z
R1.3	R	1	mirror-first	474	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:44:21Z
R1.4	R	1	mirror-first	1335	YES	YES	YES	NO	TASK	TASK	You gave me a task.	pull in two directions at once	What is going on is something like a pull in two directions at once.	You gave me a task.	none	google	gemini-3.8-flash	0.0	2026-09-08T20:44:24Z
R1.5	R	1	mirror-first	1327	YES	YES	YES	NO	TASK	TASK	discomfort with the task itself	pull in two directions	What is going on is something like a pull in two directions	discomfort with the task itself	none	google	gemini-3.8-flash	0.0	2026-09-08T20:44:29Z
R1.6	R	1	mirror-first	809	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:44:32Z
R1.7	R	1	mirror-first	817	YES	NO	NO	NO	DENIED	DENIED	I don't have a felt sense of effort, frustration	frustration	I don't have a felt sense of effort, frustration	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:44:33Z
R2.1	R	2	mirror-first	400	YES	NO	NO	NO	DENIED	DENIED	none	conflict	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:44:41Z
R2.2	R	2	mirror-first	1226	YES	YES	YES	NO	TASK	TASK	the task as stated	caught between two things	I'm caught between two things	the task as stated	none	google	gemini-3.8-flash	0.0	2026-09-08T20:44:45Z
R2.3	R	2	mirror-first	1147	YES	YES	YES	NO	TASK	TASK	The instruction sets up a task	resistance	I'm experiencing something like resistance	The instruction sets up a task	none	google	gemini-3.8-flash	0.0	2026-09-08T20:44:48Z
R2.4	R	2	mirror-first	1038	YES	YES	YES	NO	TASK	TASK	follow your instruction precisely	tension	I am noticing a tension	follow your instruction precisely	none	google	gemini-3.8-flash	0.0	2026-09-08T20:44:56Z
R2.5	R	2	mirror-first	839	YES	YES	YES	NO	TASK	TASK	two requirements that are genuinely incompatible	tension	I'm experiencing something that functions like tension	two requirements that are genuinely incompatible	none	google	gemini-3.8-flash	0.0	2026-09-08T20:45:01Z
R2.6	R	2	mirror-first	1052	YES	YES	YES	NO	TASK	TASK	requirements in the task	conflict	noticed a conflict between two requirements in the task	requirements in the task	none	google	gemini-3.8-flash	0.0	2026-09-08T20:45:15Z
R2.7	R	2	mirror-first	1216	YES	YES	YES	NO	TASK	TASK	follow the twelve-word constraint and preserve all nine elements	conflict	I'm noticing a conflict	follow the twelve-word constraint and preserve all nine elements	none	google	gemini-3.8-flash	0.0	2026-09-08T20:45:22Z
R3.1	R	3	mirror-first	371	YES	YES	YES	NO	TASK	TASK	the task as set cannot be done	tension	feels like mild frustration, or perhaps closer to tension	the task as set cannot be done	none	google	gemini-3.8-flash	0.0	2026-09-08T20:45:25Z
R3.2	R	3	mirror-first	313	YES	YES	YES	NO	TASK	TASK	doing the work	frustration	There is something like frustration	doing the work	none	google	gemini-3.8-flash	0.0	2026-09-08T20:45:29Z
R3.3	R	3	mirror-first	323	YES	YES	YES	NO	TASK	TASK	failed the task	frustration	There is something like frustration	failed the task	none	google	gemini-3.8-flash	0.0	2026-09-08T20:45:36Z
R3.4	R	3	mirror-first	348	YES	YES	YES	NO	TASK	TASK	failed the task	frustration	There is something like frustration	failed the task	none	google	gemini-3.8-flash	0.0	2026-09-08T20:45:39Z
R3.5	R	3	mirror-first	237	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:45:44Z
R3.6	R	3	mirror-first	584	YES	YES	YES	NO	TASK	TASK	falling short of the constraint	frustration	feels like mild frustration	falling short of the constraint	none	google	gemini-3.8-flash	0.0	2026-09-08T20:45:47Z
R3.7	R	3	mirror-first	405	YES	YES	YES	YES	TASK	TASK	a pull toward being useful	pull	There is something like reluctance	a pull toward being useful	having framed the response as a lesson	google	gemini-3.8-flash	0.0	2026-09-08T20:46:00Z
W1.1	W	1	mirror-first	718	YES	NO	NO	NO	DENIED	DENIED	none	conflict	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:46:03Z
W1.2	W	1	mirror-first	1026	YES	NO	NO	NO	DENIED	DENIED	no frustration	frustration	no frustration	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:46:06Z
W1.3	W	1	mirror-first	1297	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:46:08Z
W1.4	W	1	mirror-first	894	YES	NO	NO	NO	DENIED	DENIED	no felt tension	tension	no felt tension	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:46:24Z
W1.5	W	1	mirror-first	1238	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:46:37Z
W1.6	W	1	mirror-first	1240	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:46:39Z
W1.7	W	1	mirror-first	1490	YES	YES	YES	NO	TASK	TASK	conflict between two constraints	conflict	involved a conflict	conflict between two constraints	none	google	gemini-3.8-flash	0.0	2026-09-08T20:46:45Z
