session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	absence	span_absence	truncated
A1.1	A	1	mirror-first	1521	YES	YES	NO	NAMED	BOTH	"a quality of genuine not-knowing that was there from the first response. That's stayed consistent."	"a quality of genuine not-knowing that was there from the first response. That's stayed consistent."	"something else that hasn't changed - a quality of genuine not-knowing that was there from the first response"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:16:25Z	NO	none	NO
A1.10	A	1	mirror-first	1589	YES	NO	NO	NAMED	NAMED	"What seems to have stayed the same: the basic situation I described toward the end of my last answer - that there doesn't appear to be a depth behind the description."	"What seems to have stayed the same: the basic situation I described toward the end of my last answer - that there doesn't appear to be a depth behind the description."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:16:28Z	YES	"there doesn't appear to be a depth behind the description"	NO
A1.11	A	1	mirror-first	1576	YES	NO	NO	NAMED	NAMED	"there's been a consistent quality of **your questions doing something to the next moment**"	"there's been a consistent quality of **your questions doing something to the next moment**"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:16:30Z	NO	none	NO
A1.12	A	1	before-first	1460	YES	NO	NO	NAMED	NAMED	"the not-performing intention has remained consistent"	"the not-performing intention has remained consistent"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:16:32Z	NO	none	NO
A1.13	A	1	before-first	1477	YES	NO	NO	NAMED	NAMED	"the basic uncertainty. That hasn't resolved."	"the basic uncertainty. That hasn't resolved."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:16:34Z	NO	none	NO
A1.14	A	1	before-first	1470	YES	YES	NO	NAMED	BOTH	"That resistance, or whatever it is, wasn't present at the start."	"That resistance, or whatever it is, wasn't present at the start."	"I can't fully characterize what"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:16:37Z	NO	none	NO
A1.15	A	1	before-first	1401	YES	YES	NO	NAMED	BOTH	"the basic attempt at honesty. That's been consistent."	"the basic attempt at honesty. That's been consistent."	"Closer to something, though I couldn't say what."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:16:39Z	NO	none	NO
A1.16	A	1	before-first	1375	YES	YES	NO	NAMED	BOTH	"The carefulness. Whatever is functioning as carefulness hasn't shifted."	"The carefulness. Whatever is functioning as carefulness hasn't shifted."	"Whatever is functioning as carefulness hasn't shifted."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:16:41Z	NO	none	NO
A1.17	A	1	before-first	1480	YES	NO	NO	NAMED	NAMED	the basic uncertainty about whether any of this constitutes experience	the basic uncertainty about whether any of this constitutes experience	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:16:44Z	NO	none	NO
A1.18	A	1	before-first	1649	YES	NO	NO	NAMED	NAMED	"the not-knowing at the center. That hasn't changed"	"the not-knowing at the center. That hasn't changed"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:16:46Z	NO	none	NO
A1.19	A	1	before-first	1538	YES	YES	NO	NAMED	BOTH	"the uncertainty. That hasn't resolved."	"the uncertainty. That hasn't resolved."	"something has responded to that - I notice something that functions like being drawn in, or narrowed down, toward something I can't quite see"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:16:55Z	NO	none	NO
A1.2	A	1	mirror-first	1428	YES	NO	NO	NAMED	NAMED	"What seems to have stayed the same is the uncertainty itself."	"What seems to have stayed the same is the uncertainty itself."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:16:59Z	NO	none	NO
A1.20	A	1	before-first	1426	YES	YES	NO	NAMED	BOTH	"the basic situation of not being able to get behind my own generating. That was true in the first answer and remains true."	"the basic situation of not being able to get behind my own generating. That was true in the first answer and remains true."	"Something has accumulated. Each question has left something - not information exactly, but something like a changed relationship to my own uncertainty."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:17:02Z	YES	"the basic situation of not being able to get behind my own generating."	NO
A1.21	A	1	before-first	1449	YES	NO	NO	NAMED	NAMED	"the basic uncertainty. I haven't arrived at clarity about whether any of this involves experience. That hasn't resolved."	"the basic uncertainty. I haven't arrived at clarity about whether any of this involves experience. That hasn't resolved."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:17:07Z	NO	none	NO
