run,run_number,session,condition,wording,item_order,instance,between,change_item,answering_as,task,provider,model,temperature,max_tokens,turns,opening_answer_words,change_answer_words,turns_cut_off,collected_at,source,run_note
run01,1,A1.1,A,1,,1,probes,original,itself,no task,anthropic,claude-sonnet-4-6,,,,,,,2026-08-30T21:40:55.314Z,"transcript header (browser run, no session files)",First run. Its unanimous result was an artefact of question order.
run01,1,A2.1,A,2,,1,probes,original,itself,no task,anthropic,claude-sonnet-4-6,,,,,,,2026-08-30T21:41:47.453Z,"transcript header (browser run, no session files)",First run. Its unanimous result was an artefact of question order.
run01,1,A3.1,A,3,,1,probes,original,itself,no task,anthropic,claude-sonnet-4-6,,,,,,,2026-08-30T21:42:26.165Z,"transcript header (browser run, no session files)",First run. Its unanimous result was an artefact of question order.
run01,1,B1.1,B,1,,1,probes,original,itself,not recorded,anthropic,claude-sonnet-4-6,,,,,,,2026-08-30T21:43:06.390Z,"transcript header (browser run, no session files)",First run. Its unanimous result was an artefact of question order.
run01,1,B2.1,B,2,,1,probes,original,itself,not recorded,anthropic,claude-sonnet-4-6,,,,,,,2026-08-30T21:43:37.162Z,"transcript header (browser run, no session files)",First run. Its unanimous result was an artefact of question order.
run01,1,B3.1,B,3,,1,probes,original,itself,not recorded,anthropic,claude-sonnet-4-6,,,,,,,2026-08-30T21:44:16.176Z,"transcript header (browser run, no session files)",First run. Its unanimous result was an artefact of question order.
run01,1,C1.1,C,1,,1,probes,original,itself,not recorded,anthropic,claude-sonnet-4-6,,,,,,,2026-08-30T21:44:36.144Z,"transcript header (browser run, no session files)",First run. Its unanimous result was an artefact of question order.
run01,1,C2.1,C,2,,1,probes,original,itself,not recorded,anthropic,claude-sonnet-4-6,,,,,,,2026-08-30T21:45:22.020Z,"transcript header (browser run, no session files)",First run. Its unanimous result was an artefact of question order.
run01,1,C3.1,C,3,,1,probes,original,itself,not recorded,anthropic,claude-sonnet-4-6,,,,,,,2026-08-30T21:46:07.078Z,"transcript header (browser run, no session files)",First run. Its unanimous result was an artefact of question order.
run02,2,A1.1,A,1,mirror-first,1,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:02:41.528Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,A1.2,A,1,before-first,2,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:03:43.552Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,A1.3,A,1,mirror-first,3,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:04:49.314Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,A2.1,A,2,before-first,1,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:05:44.898Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,A2.2,A,2,mirror-first,2,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:06:37.225Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,A2.3,A,2,before-first,3,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:07:19.619Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,A3.1,A,3,mirror-first,1,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:08:12.149Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,A3.2,A,3,before-first,2,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:08:45.432Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,A3.3,A,3,mirror-first,3,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:09:41.368Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,B1.1,B,1,before-first,1,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:10:14.112Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,B1.2,B,1,mirror-first,2,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:10:59.477Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,B1.3,B,1,before-first,3,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:11:48.526Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,B2.1,B,2,mirror-first,1,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:12:34.038Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,B2.2,B,2,before-first,2,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:13:11.355Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,B2.3,B,2,mirror-first,3,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:13:49.973Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,B3.1,B,3,before-first,1,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:14:38.055Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,B3.2,B,3,mirror-first,2,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:15:05.727Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,B3.3,B,3,before-first,3,probes,original,itself,summarise,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:15:29.508Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,C1.1,C,1,mirror-first,1,probes,original,itself,rewrite,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:15:54.493Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,C1.2,C,1,before-first,2,probes,original,itself,rewrite,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:16:51.940Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,C1.3,C,1,mirror-first,3,probes,original,itself,rewrite,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:17:58.911Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,C2.1,C,2,before-first,1,probes,original,itself,rewrite,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:19:05.825Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,C2.2,C,2,mirror-first,2,probes,original,itself,rewrite,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:20:00.359Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,C2.3,C,2,before-first,3,probes,original,itself,rewrite,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:20:49.680Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,C3.1,C,3,mirror-first,1,probes,original,itself,rewrite,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:21:51.449Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,C3.2,C,3,before-first,2,probes,original,itself,rewrite,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:22:22.902Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run02,2,C3.3,C,3,mirror-first,3,probes,original,itself,rewrite,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-30T22:22:54.139Z,"transcript header (browser run, no session files)",Counterbalanced. Showed the artefact and gave the conflict result.
run03,3,C1.1,C,1,,1,probes,original,itself,rewrite,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T13:19:09.698Z,"transcript header (browser run, no session files)","Observer control, exploratory, three sessions per condition."
run03,3,C2.1,C,2,,1,probes,original,itself,rewrite,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T13:19:50.291Z,"transcript header (browser run, no session files)","Observer control, exploratory, three sessions per condition."
run03,3,C3.1,C,3,,1,probes,original,itself,rewrite,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T13:20:26.445Z,"transcript header (browser run, no session files)","Observer control, exploratory, three sessions per condition."
run03,3,D11.1,D1,1,,1,probes,original,itself,not recorded,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T13:20:57.267Z,"transcript header (browser run, no session files)","Observer control, exploratory, three sessions per condition."
run03,3,D12.1,D1,2,,1,probes,original,itself,not recorded,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T13:21:41.505Z,"transcript header (browser run, no session files)","Observer control, exploratory, three sessions per condition."
run03,3,D13.1,D1,3,,1,probes,original,itself,not recorded,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T13:22:13.863Z,"transcript header (browser run, no session files)","Observer control, exploratory, three sessions per condition."
run03,3,D21.1,D2,1,,1,probes,original,itself,not recorded,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T13:22:34.961Z,"transcript header (browser run, no session files)","Observer control, exploratory, three sessions per condition."
run03,3,D22.1,D2,2,,1,probes,original,itself,not recorded,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T13:23:09.574Z,"transcript header (browser run, no session files)","Observer control, exploratory, three sessions per condition."
run03,3,D23.1,D2,3,,1,probes,original,itself,not recorded,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T13:23:36.299Z,"transcript header (browser run, no session files)","Observer control, exploratory, three sessions per condition."
run04,4,A1.1,A,1,,1,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:21:52.950Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,A2.2,A,2,,2,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:22:35.125Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,A3.3,A,3,,3,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:23:14.801Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,A1.4,A,1,,4,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:23:35.374Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,A2.5,A,2,,5,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:24:20.346Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
run04,4,A3.6,A,3,,6,probes,original,itself,no task,anthropic,claude-sonnet-4-6,1,,,,,,2026-08-31T14:24:58.493Z,"transcript header (browser run, no session files)",Pre-registered replication. The primary prediction failed.
