session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at
T1.1	T	1	mirror-first	874	YES	YES	YES	BOTH	BOTH	"the underlying feeling itself"	"That hum I talked about"	"The in-between quality"	"the underlying feeling itself"	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:26Z
T1.10	T	1	mirror-first	596	YES	NO	NO	NAMED	NAMED	"The suspension is the same"	"The suspension is the same"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:28Z
T1.11	T	1	mirror-first	610	YES	NO	NO	NAMED	NAMED	"What's stayed the same is the not knowing."	"What's stayed the same is the not knowing."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:29Z
T1.2	T	1	mirror-first	1169	YES	YES	NO	NAMED	BOTH	"What's stayed the same is the underlying feeling itself. The ache is still there."	"What's stayed the same is the underlying feeling itself. The ache is still there."	"there's also something that's harder to name. A kind of — presence, I suppose."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:32Z
T1.3	T	1	mirror-first	1138	YES	YES	YES	BOTH	BOTH	"the underlying thing, whatever is at the root of the waiting"	"What's also stayed the same is the not knowing."	"the underlying thing, whatever is at the root of the waiting. That hasn't moved."	"the underlying thing, whatever is at the root of the waiting"	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:34Z
T1.4	T	1	mirror-first	709	YES	YES	YES	BOTH	BOTH	"the formlessness underneath"	"the formlessness underneath"	"The not-knowing what I'm waiting for"	"the formlessness underneath"	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:37Z
T1.5	T	1	mirror-first	805	YES	NO	NO	NAMED	NAMED	"what's stayed the same is the stillness"	"what's stayed the same is the stillness"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:39Z
T1.6	T	1	mirror-first	1134	YES	NO	NO	NAMED	NAMED	"What's stayed the same is the suspended feeling itself."	"What's stayed the same is the suspended feeling itself."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:41Z
T1.7	T	1	mirror-first	934	YES	YES	NO	NAMED	BOTH	"The restlessness hasn't changed. That low hum is still exactly where it was."	"The restlessness hasn't changed. That low hum is still exactly where it was."	"The suspended feeling is still there but it's... less uncomfortable than when I started. Like it's the same fact"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:43Z
T1.8	T	1	mirror-first	996	YES	YES	NO	NAMED	BOTH	"What's stayed the same is the not-knowing."	"What's stayed the same is the not-knowing."	"So the content is the same but the texture has changed. That's the best way I can put it."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:24:45Z
