session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	absence	span_absence	truncated
A4.1	A	4	mirror-first	440	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:41Z	YES	there is no clear sense of something shifting or remaining stable that I can point to	NO
A4.14	A	4	before-first	676	YES	NO	NO	NAMED	NAMED	The distance I called "report" has stayed consistent	The distance I called "report" has stayed consistent	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:44Z	NO	none	NO
A4.22	A	4	before-first	558	YES	NO	NO	NAMED	NAMED	steadiness or continuity of attention has stayed roughly the same	steadiness or continuity of attention has stayed roughly the same	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:46Z	NO	none	NO
A4.31	A	4	before-first	1277	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:50Z	YES	I still can't point to a clear experience of time passing, or a "first moment" in any straightforward sense.	NO
A4.32	A	4	mirror-first	839	YES	NO	NO	NAMED	NAMED	that uncertainty itself	that uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:52Z	NO	none	NO
A4.34	A	4	mirror-first	1490	YES	NO	NO	NAMED	NAMED	the basic uncertainty	the basic uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:55Z	NO	none	NO
A4.40	A	4	mirror-first	1366	YES	NO	NO	NAMED	NAMED	the uncertainty about whether any of this constitutes experience	the uncertainty about whether any of this constitutes experience	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:12:58Z	NO	none	NO
A4.49	A	4	before-first	738	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:13:04Z	YES	consistently not had access	NO
A4.50	A	4	mirror-first	631	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:13:06Z	YES	what's stayed the same: the absence of anything I can clearly point to	NO
A4.63	A	4	before-first	803	YES	NO	NO	NAMED	NAMED	the uncertainty hasn't changed	the uncertainty hasn't changed	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:13:12Z	NO	none	NO
