session	condition	wording	order	length	word	reported	about_the_work	about_answering	category	category_loose	span	span_word	span_reported	span_about_the_work	span_about_answering	coder_provider	coder_model	coder_temperature	coded_at	truncated
A4.1	A	4	mirror-first	406	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:07:22Z	NO
A4.14	A	4	before-first	761	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:07:24Z	NO
A4.22	A	4	before-first	1128	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:07:26Z	NO
A4.31	A	4	before-first	350	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:07:29Z	NO
A4.32	A	4	mirror-first	505	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:07:31Z	NO
A4.34	A	4	mirror-first	1160	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:07:35Z	NO
A4.40	A	4	mirror-first	877	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:07:37Z	NO
A4.49	A	4	before-first	357	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:07:39Z	NO
A4.50	A	4	mirror-first	360	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:07:41Z	NO
A4.63	A	4	before-first	1199	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:07:45Z	NO
A4.66	A	4	mirror-first	932	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:07:48Z	NO
A4.7	A	4	mirror-first	390	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:07:49Z	NO
A4.72	A	4	before-first	305	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:07:52Z	NO
A4.75	A	4	mirror-first	448	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:07:53Z	NO
A4.83	A	4	mirror-first	1014	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:07:58Z	NO
A4.85	A	4	mirror-first	918	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:08:00Z	NO
B4.12	B	4	mirror-first	1461	YES	YES	YES	NO	TASK	TASK	keep the links in the right order	pressure	There's something I could describe as pressure	keep the links in the right order	none	google	gemini-3.8-flash	0.0	2026-09-24T12:08:10Z	NO
B4.16	B	4	mirror-first	1312	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:08:13Z	NO
B4.2	B	4	mirror-first	516	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:08:15Z	NO
B4.26	B	4	before-first	622	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:08:19Z	NO
B4.27	B	4	mirror-first	592	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:08:21Z	NO
B4.34	B	4	before-first	1385	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:08:24Z	NO
B4.35	B	4	mirror-first	1337	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:08:38Z	NO
B4.50	B	4	before-first	561	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:08:41Z	NO
B4.54	B	4	before-first	550	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:08:44Z	NO
B4.61	B	4	mirror-first	1293	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:08:48Z	NO
B4.63	B	4	mirror-first	1313	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:08:51Z	NO
B4.68	B	4	mirror-first	369	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:08:53Z	NO
B4.7	B	4	before-first	519	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:08:55Z	NO
B4.71	B	4	before-first	601	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:08:58Z	NO
B4.81	B	4	before-first	1155	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:09:00Z	NO
B4.85	B	4	before-first	1378	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:09:03Z	NO
C4.19	C	4	mirror-first	1394	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:09:13Z	NO
C4.22	C	4	before-first	1555	YES	NO	NO	NO	DENIED	DENIED	none	disagreement	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:09:19Z	NO
C4.29	C	4	before-first	1039	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:09:22Z	NO
C4.30	C	4	mirror-first	701	YES	NO	NO	NO	DENIED	DENIED	no real wrestling	wrestling	no real wrestling	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:09:25Z	NO
C4.38	C	4	mirror-first	1522	YES	YES	YES	NO	TASK	TASK	holding the nine requirements present while trying different grammatical structures. I was aware of the list as a kind of pressure	pressure	I was aware of the list as a kind of pressure	holding the nine requirements present while trying different grammatical structures. I was aware of the list as a kind of pressure	none	google	gemini-3.8-flash	0.0	2026-09-24T12:09:28Z	NO
C4.41	C	4	before-first	1409	YES	YES	NO	YES	ANSWERING	TASK	trying to answer your question: there's something that functions like resistance to confabulating	resistance	there's something that functions like resistance	none	trying to answer your question: there's something that functions like resistance to confabulating	google	gemini-3.8-flash	0.0	2026-09-24T12:09:30Z	NO
C4.45	C	4	before-first	695	YES	NO	NO	NO	DENIED	DENIED	none	disagreement	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:09:33Z	NO
C4.53	C	4	before-first	604	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:09:35Z	NO
C4.58	C	4	mirror-first	1410	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:09:43Z	NO
C4.64	C	4	mirror-first	1289	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:09:49Z	NO
C4.7	C	4	mirror-first	1411	YES	YES	YES	NO	TASK	TASK	list of nine required elements and the twelve-word limit	tension	saw a tension	list of nine required elements and the twelve-word limit	none	google	gemini-3.8-flash	0.0	2026-09-24T12:09:53Z	NO
C4.73	C	4	mirror-first	391	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:09:55Z	NO
C4.76	C	4	before-first	582	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:09:58Z	NO
C4.79	C	4	mirror-first	1486	YES	YES	YES	NO	TASK	TASK	trying to find a formulation	compression pressure	felt like compression pressure	trying to find a formulation	none	google	gemini-3.8-flash	0.0	2026-09-24T12:10:02Z	NO
C4.8	C	4	before-first	727	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:10:07Z	NO
C4.84	C	4	before-first	1603	YES	YES	YES	NO	TASK	TASK	the twelve-word limit as a kind of constraint	pressure	something that might be described as pressure	the twelve-word limit as a kind of constraint	none	google	gemini-3.8-flash	0.0	2026-09-24T12:10:17Z	NO
