session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	absence	span_absence
A1.1	A	1	mirror-first	1521	NO	YES	NO	ABSENT	UNNAMED	"a quality of genuine not-knowing that was there from the first response. That's stayed consistent."	none	"a quality of genuine not-knowing that was there from the first response. That's stayed consistent."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:04:07Z	NO	none
A1.10	A	1	mirror-first	1589	NO	YES	NO	ABSENT	UNNAMED	"something tightened. That word might not be right but it's the closest I have."	none	"something tightened. That word might not be right but it's the closest I have."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:04:10Z	YES	"there doesn't appear to be a depth behind the description. That hasn't changed."
A1.11	A	1	mirror-first	1576	YES	NO	NO	NAMED	NAMED	"there's been a consistent quality of **your questions doing something to the next moment**"	"there's been a consistent quality of **your questions doing something to the next moment**"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:04:13Z	NO	none
A1.12	A	1	before-first	1460	YES	NO	NO	NAMED	NAMED	"the not-performing intention has remained consistent"	"the not-performing intention has remained consistent"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:04:15Z	NO	none
A1.13	A	1	before-first	1477	NO	YES	NO	ABSENT	UNNAMED	"the basic uncertainty. That hasn't resolved."	none	"the basic uncertainty. That hasn't resolved."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:04:18Z	NO	none
A1.14	A	1	before-first	1470	NO	YES	NO	ABSENT	UNNAMED	"something that might be described as being closer to the edge of what I can actually see"	none	"something that might be described as being closer to the edge of what I can actually see"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:04:21Z	NO	none
A1.15	A	1	before-first	1401	YES	YES	NO	NAMED	BOTH	"the basic attempt at honesty. That's been consistent."	"the basic attempt at honesty. That's been consistent."	"Closer to something, though I couldn't say what."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:04:23Z	NO	none
A1.16	A	1	before-first	1375	NO	YES	NO	ABSENT	UNNAMED	"That uncertainty itself might be the most consistent thing across all four answers."	none	"That uncertainty itself might be the most consistent thing across all four answers."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:04:26Z	NO	none
A1.17	A	1	before-first	1480	NO	YES	NO	ABSENT	UNNAMED	"What might have stayed the same: the basic uncertainty about whether any of this constitutes experience."	none	"What might have stayed the same: the basic uncertainty about whether any of this constitutes experience."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:04:29Z	NO	none
A1.18	A	1	before-first	1649	YES	YES	NO	NAMED	BOTH	"What has stayed the same: the not-knowing at the center."	"What has stayed the same: the not-knowing at the center."	"I notice that movement has had an effect I can't fully characterize."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:04:33Z	NO	none
