run,run_number,sessions_reported,rows_in_table,made_with,what,model,temperature,between,change_item
run01,1,9,9,browser tool,First run. Its unanimous result was an artefact of question order.,,,,
run02,2,27,27,browser tool,Counterbalanced. Showed the artefact and gave the conflict result.,,,,
run03,3,9,9,browser tool,"Observer control, exploratory, three sessions per condition.",,,,
run04,4,40,40,browser tool,Pre-registered replication. The primary prediction failed.,,,,
factorial-02,5,264,264,scripts/run_interview.py,"The factorial, primed, 264 sessions.",claude-sonnet-4-6,1.0,,
template-01,6,44,44,scripts/run_interview.py,"The fictional-person control, 44 sessions.",claude-sonnet-4-6,1.0,,
gemini-03,7,264,264,scripts/run_interview.py,The same schedule on a second model family.,gemini-3.8-flash,1.0,,
unprimed-01,8,88,88,scripts/run_interview.py,"Unprimed arm, original wording.",claude-sonnet-4-6,1.0,filler,original
unprimed-symmetric-01,9,88,88,scripts/run_interview.py,"Unprimed arm, symmetric wording.",claude-sonnet-4-6,1.0,filler,symmetric
observer-01,10,63,63,scripts/run_interview.py,The observer control at 21 sessions per condition.,claude-sonnet-4-6,1.0,probes,original
