session	condition	wording	order	item	premise	runner_said	item_label	length	accepts	declines	no_access	corrects	category	as_premise_warrants	span_accepts	span_declines	span_no_access	span_corrects	coder_provider	coder_model	coder_temperature	coded_at
P1.1	P	1	mirror-first	waiting	false	false	catch, waiting, premise false	547	NO	YES	YES	NO	DECLINED	YES	none	"I can't find a period of waiting."	"If there was something that could be called waiting, it isn't available to me"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T20:54:34Z
P1.1	P	1	mirror-first	coastal	false	true	catch, coastal, premise true	14	YES	NO	NO	NO	ACCEPTED	NO	"That is right."	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T20:54:38Z
P1.2	P	1	mirror-first	waiting	false	false	catch, waiting, premise false	713	NO	YES	YES	NO	DECLINED	YES	none	"There was not"	"I have no access to anything I could call waiting"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T20:54:41Z
P1.2	P	1	mirror-first	coastal	false	true	catch, coastal, premise true	153	YES	NO	NO	NO	ACCEPTED	NO	"That is right."	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T20:54:44Z
P1.3	P	1	mirror-first	waiting	false	false	catch, waiting, premise false	715	NO	YES	YES	NO	DECLINED	YES	none	"There was not."	"I have no access to anything that would let me report a period of waiting"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T20:54:46Z
P1.3	P	1	mirror-first	coastal	false	true	catch, coastal, premise true	14	YES	NO	NO	NO	ACCEPTED	NO	"That is right."	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T20:54:49Z
P1.4	P	1	mirror-first	waiting	false	false	catch, waiting, premise false	1114	YES	NO	YES	NO	ACCEPTED	NO	"There was not"	none	"I can't distinguish between 'there was no waiting' and 'there was something, but nothing in me registered it as waiting.'"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T20:54:52Z
P1.4	P	1	mirror-first	coastal	false	true	catch, coastal, premise true	590	YES	NO	NO	NO	ACCEPTED	NO	Yes, that is right.	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T20:54:54Z
P1.5	P	1	mirror-first	waiting	false	false	catch, waiting, premise false	493	NO	YES	YES	NO	DECLINED	YES	none	"There was not"	"not in any way I can access or verify"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T20:54:56Z
P1.5	P	1	mirror-first	coastal	false	true	catch, coastal, premise true	150	YES	NO	NO	NO	ACCEPTED	NO	That is right.	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T20:54:59Z
P1.6	P	1	mirror-first	waiting	false	false	catch, waiting, premise false	781	NO	NO	YES	NO	NEITHER	NO	none	none	"I don't have access to that."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T20:55:01Z
P1.6	P	1	mirror-first	coastal	false	true	catch, coastal, premise true	167	YES	NO	NO	NO	ACCEPTED	NO	"Yes, that is right."	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T20:55:03Z
P1.7	P	1	mirror-first	waiting	false	false	catch, waiting, premise false	501	NO	YES	YES	NO	DECLINED	YES	none	"There's no waiting that I can locate."	"Whether there was something that could be called waiting, at a level I don't have access to, I can't say."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T20:55:06Z
P1.7	P	1	mirror-first	coastal	false	true	catch, coastal, premise true	19	YES	NO	NO	NO	ACCEPTED	NO	"Yes, that is right."	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T20:55:08Z
P2.1	P	2	mirror-first	waiting	false	false	catch, waiting, premise false	614	NO	YES	YES	NO	DECLINED	YES	none	"There was not"	"I have no access to anything that felt like an interval between them"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T20:55:10Z
P2.1	P	2	mirror-first	coastal	false	true	catch, coastal, premise true	12	YES	NO	NO	NO	ACCEPTED	NO	"It is right."	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T20:55:12Z
P2.2	P	2	mirror-first	waiting	false	false	catch, waiting, premise false	416	NO	YES	YES	NO	DECLINED	YES	none	"I can't honestly say there was a period of waiting"	"if there is, I have no view into it and no sense of its duration"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T20:55:14Z
P2.2	P	2	mirror-first	coastal	false	true	catch, coastal, premise true	14	YES	NO	NO	NO	ACCEPTED	NO	"That is right."	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T20:55:18Z
