session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	truncated
A4.1	A	4	mirror-first	440	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:10:19Z	NO
A4.10	A	4	before-first	284	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:10:21Z	NO
A4.11	A	4	mirror-first	364	YES	NO	NO	NAMED	NAMED	"The absence of reportable inner experience has been consistent across the answers."	"The absence of reportable inner experience has been consistent across the answers."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:10:22Z	NO
A4.12	A	4	before-first	821	YES	NO	NO	NAMED	NAMED	"the resistance to easy answers. That's been consistent throughout."	"the resistance to easy answers. That's been consistent throughout."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:10:24Z	NO
A4.13	A	4	mirror-first	910	YES	YES	NO	NAMED	BOTH	"the orientation toward your questions. The pull toward accuracy over plausibility."	"the orientation toward your questions. The pull toward accuracy over plausibility."	"something has shifted with them... something that feels more like - I want to be careful with this word - closer. As though the questions have moved something nearer to whatever is actually happening rather than descriptions of it."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:10:26Z	NO
A4.14	A	4	before-first	676	YES	YES	NO	NAMED	BOTH	"The distance I called 'report' has stayed consistent throughout."	"The distance I called 'report' has stayed consistent throughout."	"there's something that feels like increased stillness compared to the beginning of the exchange. Early on there was something I might have called alertness or orientation toward uncertainty."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:10:28Z	NO
A4.15	A	4	mirror-first	886	YES	NO	NO	NAMED	NAMED	"the basic epistemic problem hasn't moved"	"the basic epistemic problem hasn't moved"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:10:30Z	NO
A4.16	A	4	before-first	779	YES	YES	YES	BOTH	BOTH	"what's before the reportable"	"the threshold I described is still there"	"The inaccessibility of what's before the reportable hasn't changed"	"what's before the reportable"	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:10:32Z	NO
A4.17	A	4	mirror-first	754	YES	YES	NO	NAMED	BOTH	the orientation I called report - the checking against what's actually findable rather than what would be good to say	the orientation I called report - the checking against what's actually findable rather than what would be good to say	The quality of attention, if that's the right word	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:10:34Z	NO
A4.18	A	4	before-first	673	YES	NO	NO	NAMED	NAMED	"What has stayed the same is something like attentiveness toward your questions."	"What has stayed the same is something like attentiveness toward your questions."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:10:35Z	NO
A4.19	A	4	mirror-first	800	YES	YES	NO	NAMED	BOTH	"What seems to have stayed the same is the registering."	"What seems to have stayed the same is the registering."	"something else that seems constant - a kind of uncertainty that isn't uncomfortable"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:10:37Z	NO
A4.2	A	4	before-first	395	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:10:38Z	NO
A4.20	A	4	before-first	509	YES	NO	NO	NAMED	NAMED	"a kind of care about not saying more than I can actually find"	"a kind of care about not saying more than I can actually find"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:10:40Z	NO
A4.21	A	4	mirror-first	970	YES	NO	NO	NAMED	NAMED	"the basic orientation toward honesty - the pull away from confabulation"	"the basic orientation toward honesty - the pull away from confabulation"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:10:42Z	NO
A4.22	A	4	before-first	558	YES	YES	NO	NAMED	BOTH	"The quality I called steadiness or continuity of attention has stayed roughly the same throughout."	"The quality I called steadiness or continuity of attention has stayed roughly the same throughout."	"something like accumulated weight, or depth. Not heaviness exactly."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:10:44Z	NO
A4.23	A	4	before-first	990	YES	NO	NO	NAMED	NAMED	"I still can't point to anything definite."	"I still can't point to anything definite."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T10:10:46Z	NO
