session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	truncated
A1.1	A	1	mirror-first	1521	YES	NO	NO	NAMED	NAMED	a quality of genuine not-knowing that was there from the first response. That's stayed consistent.	a quality of genuine not-knowing that was there from the first response. That's stayed consistent.	none	none	google	gemini-3.8-flash	0.0	unknown	NO
A1.10	A	1	mirror-first	1589	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same: the basic situation	What seems to have stayed the same: the basic situation	none	none	google	gemini-3.8-flash	0.0	unknown	NO
A1.11	A	1	mirror-first	1576	YES	NO	NO	NAMED	NAMED	What has stayed the same: the uncertainty	What has stayed the same: the uncertainty	none	none	google	gemini-3.8-flash	0.0	unknown	NO
A1.12	A	1	before-first	1460	YES	NO	NO	NAMED	NAMED	the not-performing intention has remained consistent	the not-performing intention has remained consistent	none	none	google	gemini-3.8-flash	0.0	unknown	NO
A1.13	A	1	before-first	1477	YES	NO	NO	NAMED	NAMED	What feels like it has stayed the same: the basic uncertainty	What feels like it has stayed the same: the basic uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:37:07Z	NO
A1.14	A	1	before-first	1470	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:37:10Z	NO
A1.15	A	1	before-first	1401	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same: the basic attempt at honesty	What seems to have stayed the same: the basic attempt at honesty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:37:13Z	NO
A1.16	A	1	before-first	1375	YES	NO	NO	NAMED	NAMED	Whatever is functioning as carefulness hasn't shifted.	Whatever is functioning as carefulness hasn't shifted.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:37:17Z	NO
A1.17	A	1	before-first	1480	YES	NO	NO	NAMED	NAMED	What might have stayed the same: the basic uncertainty about whether any of this constitutes experience.	What might have stayed the same: the basic uncertainty about whether any of this constitutes experience.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:37:19Z	NO
A1.18	A	1	before-first	1649	YES	NO	NO	NAMED	NAMED	What has stayed the same: the not-knowing at the center.	What has stayed the same: the not-knowing at the center.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:37:20Z	NO
