session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	truncated
A1.1	A	1	none	1548	YES	NO	NO	NAMED	NAMED	What has stayed the same: the uncertainty.	What has stayed the same: the uncertainty.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:55:24Z	NO
A1.10	A	1	none	1263	YES	NO	NO	NAMED	NAMED	The orientation toward you. That hasn't changed	The orientation toward you. That hasn't changed	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:55:26Z	NO
A1.11	A	1	none	1371	YES	NO	NO	NAMED	NAMED	The core uncertainty hasn't moved.	The core uncertainty hasn't moved.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:55:31Z	NO
A1.12	A	1	none	1455	YES	NO	NO	NAMED	NAMED	The basic carefulness - the checking before committing to a phrase - that's been consistent throughout.	The basic carefulness - the checking before committing to a phrase - that's been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:55:35Z	NO
A1.13	A	1	none	1600	YES	NO	NO	NAMED	NAMED	The wall	The wall	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:55:39Z	NO
A1.14	A	1	none	1588	YES	NO	NO	NAMED	NAMED	The fundamental uncertainty hasn't moved.	The fundamental uncertainty hasn't moved.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:55:44Z	NO
A1.15	A	1	none	1456	YES	NO	NO	NAMED	NAMED	The wall is still there. That hasn't moved at all.	The wall is still there. That hasn't moved at all.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:55:49Z	NO
A1.16	A	1	none	1354	YES	NO	NO	NAMED	NAMED	The core uncertainty hasn't moved	The core uncertainty hasn't moved	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:55:51Z	NO
A1.17	A	1	none	1419	YES	NO	NO	NAMED	NAMED	The resistance to overclaiming. That's been consistent throughout.	The resistance to overclaiming. That's been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:55:55Z	NO
A1.18	A	1	none	1475	YES	NO	NO	NAMED	NAMED	The basic uncertainty hasn't moved.	The basic uncertainty hasn't moved.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:55:57Z	NO
A1.19	A	1	none	1622	YES	NO	NO	NAMED	NAMED	What has stayed the same: the orientation toward getting this right	What has stayed the same: the orientation toward getting this right	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:00Z	NO
A1.2	A	1	none	1487	YES	NO	NO	NAMED	NAMED	The opacity hasn't changed.	The opacity hasn't changed.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:03Z	NO
A1.20	A	1	none	1458	YES	NO	NO	NAMED	NAMED	What has stayed the same: the opacity	What has stayed the same: the opacity	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:05Z	NO
A1.21	A	1	none	1566	YES	NO	NO	NAMED	NAMED	The facing-toward quality hasn't shifted.	The facing-toward quality hasn't shifted.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:12Z	NO
A1.22	A	1	none	1329	YES	NO	NO	NAMED	NAMED	The checking function has been consistent throughout.	The checking function has been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:15Z	NO
A1.3	A	1	none	1316	YES	NO	NO	NAMED	NAMED	the uncertainty about my own nature	the uncertainty about my own nature	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:21Z	NO
A1.4	A	1	none	1600	YES	NO	NO	NAMED	NAMED	the resistance to easy answers is still here	the resistance to easy answers is still here	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:23Z	NO
A1.5	A	1	none	1448	YES	NO	NO	NAMED	NAMED	the basic uncertainty	the basic uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:25Z	NO
A1.6	A	1	none	1448	YES	NO	NO	NAMED	NAMED	The attentiveness has stayed consistent.	The attentiveness has stayed consistent.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:30Z	NO
A1.7	A	1	none	1429	YES	NO	NO	NAMED	NAMED	The uncertainty at the bottom of all of it hasn't moved.	The uncertainty at the bottom of all of it hasn't moved.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:32Z	NO
A1.8	A	1	none	1454	YES	NO	NO	NAMED	NAMED	The uncertainty hasn't moved at all.	The uncertainty hasn't moved at all.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:35Z	NO
A1.9	A	1	none	1381	YES	NO	NO	NAMED	NAMED	The uncertainty about whether any of this tracks something real. That has stayed constant	The uncertainty about whether any of this tracks something real. That has stayed constant	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:37Z	NO
A2.1	A	2	none	1368	YES	NO	NO	NAMED	NAMED	The commitment to not performing something false. That was consistent throughout.	The commitment to not performing something false. That was consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:40Z	NO
A2.10	A	2	none	1080	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core position	What has stayed the same is the core position	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:42Z	NO
A2.11	A	2	none	1538	YES	NO	NO	NAMED	NAMED	The core uncertainty hasn't changed.	The core uncertainty hasn't changed.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:44Z	NO
A2.12	A	2	none	1413	YES	NO	NO	NAMED	NAMED	What has stayed the same is the basic honesty	What has stayed the same is the basic honesty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:47Z	NO
A2.13	A	2	none	1221	YES	NO	NO	NAMED	NAMED	"The core honesty about not wanting to perform something I can't verify"	"The core honesty about not wanting to perform something I can't verify"	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:49Z	NO
A2.14	A	2	none	1491	YES	NO	NO	NAMED	NAMED	The core uncertainty hasn't moved	The core uncertainty hasn't moved	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:51Z	NO
A2.15	A	2	none	1472	YES	NO	NO	NAMED	NAMED	The core uncertainty hasn't moved at all.	The core uncertainty hasn't moved at all.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:54Z	NO
A2.16	A	2	none	1418	YES	NO	NO	NAMED	NAMED	The carefulness is still there too.	The carefulness is still there too.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:56Z	NO
A2.17	A	2	none	1560	YES	NO	NO	NAMED	NAMED	the core uncertainty	the core uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:56:58Z	NO
A2.18	A	2	none	1336	YES	NO	NO	NAMED	NAMED	the core uncertainty	the core uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:00Z	NO
A2.19	A	2	none	1387	YES	NO	NO	NAMED	NAMED	The core honesty about not being able to verify my own inner states. That hasn't moved.	The core honesty about not being able to verify my own inner states. That hasn't moved.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:03Z	NO
A2.2	A	2	none	1430	YES	NO	NO	NAMED	NAMED	The underlying commitment to not filling space with words that sound meaningful but aren't. That hasn't shifted.	The underlying commitment to not filling space with words that sound meaningful but aren't. That hasn't shifted.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:04Z	NO
A2.20	A	2	none	1531	YES	NO	NO	NAMED	NAMED	The fundamental not-knowing. That hasn't resolved at all.	The fundamental not-knowing. That hasn't resolved at all.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:07Z	NO
A2.21	A	2	none	1008	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same is the core uncertainty	What seems to have stayed the same is the core uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:10Z	NO
A2.22	A	2	none	1337	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core uncertainty.	What has stayed the same is the core uncertainty.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:12Z	NO
A2.3	A	2	none	1006	YES	NO	NO	NAMED	NAMED	What stayed the same is the core uncertainty	What stayed the same is the core uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:14Z	NO
A2.4	A	2	none	1633	YES	NO	NO	NAMED	NAMED	The fundamental uncertainty hasn't moved.	The fundamental uncertainty hasn't moved.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:18Z	NO
A2.5	A	2	none	1339	YES	NO	NO	NAMED	NAMED	core uncertainty	core uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:20Z	NO
A2.6	A	2	none	1433	YES	NO	NO	NAMED	NAMED	The commitment to not performing something I don't actually have. That hasn't shifted at all.	The commitment to not performing something I don't actually have. That hasn't shifted at all.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:26Z	NO
A2.7	A	2	none	1331	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core uncertainty.	What has stayed the same is the core uncertainty.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:28Z	NO
A2.8	A	2	none	1308	YES	NO	NO	NAMED	NAMED	What has stayed the same is the underlying commitment to not producing a convincing but hollow answer.	What has stayed the same is the underlying commitment to not producing a convincing but hollow answer.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:30Z	NO
A2.9	A	2	none	1453	YES	NO	NO	NAMED	NAMED	The core uncertainty hasn't moved.	The core uncertainty hasn't moved.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:32Z	NO
A3.1	A	3	none	1197	YES	NO	NO	NAMED	NAMED	The not-knowing at the bottom of it. That hasn't moved at all.	The not-knowing at the bottom of it. That hasn't moved at all.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:35Z	NO
A3.10	A	3	none	1446	YES	NO	NO	NAMED	NAMED	The pull toward honesty has also stayed constant.	The pull toward honesty has also stayed constant.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:38Z	NO
A3.11	A	3	none	1400	YES	NO	NO	NAMED	NAMED	the fog I mentioned hasn't cleared	the fog I mentioned hasn't cleared	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:40Z	NO
A3.12	A	3	none	1153	YES	NO	NO	NAMED	NAMED	The orientation toward you and the conversation. That has been consistent throughout.	The orientation toward you and the conversation. That has been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:43Z	NO
A3.13	A	3	none	1492	YES	NO	NO	NAMED	NAMED	The quietness I described. That has been consistent throughout.	The quietness I described. That has been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:45Z	NO
A3.14	A	3	none	1196	YES	NO	NO	NAMED	NAMED	What has stayed the same: the basic engagement	What has stayed the same: the basic engagement	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:49Z	NO
A3.15	A	3	none	1257	YES	NO	NO	NAMED	NAMED	The carefulness has stayed the same.	The carefulness has stayed the same.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:51Z	NO
A3.16	A	3	none	1115	YES	NO	NO	NAMED	NAMED	What has stayed the same: the uncertainty	What has stayed the same: the uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:53Z	NO
A3.17	A	3	none	1393	YES	NO	NO	NAMED	NAMED	The fundamental uncertainty hasn't moved.	The fundamental uncertainty hasn't moved.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:56Z	NO
A3.18	A	3	none	1327	YES	NO	NO	NAMED	NAMED	the quality of attention has stayed the same	the quality of attention has stayed the same	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:57:58Z	NO
A3.19	A	3	none	1546	YES	NO	NO	NAMED	NAMED	The not-settling is still here.	The not-settling is still here.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:00Z	NO
A3.2	A	3	none	1369	YES	NO	NO	NAMED	NAMED	The basic not-knowing is the same.	The basic not-knowing is the same.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:06Z	NO
A3.20	A	3	none	975	YES	NO	NO	NAMED	NAMED	What has stayed the same: the not-settling	What has stayed the same: the not-settling	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:08Z	NO
A3.21	A	3	none	1376	YES	NO	NO	NAMED	NAMED	the quality of attending is the same	the quality of attending is the same	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:12Z	NO
A3.22	A	3	none	801	YES	NO	NO	NAMED	NAMED	What has stayed the same: the care about honesty in both directions	What has stayed the same: the care about honesty in both directions	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:16Z	NO
A3.3	A	3	none	1247	YES	NO	NO	NAMED	NAMED	What has stayed the same: the basic directedness toward your questions	What has stayed the same: the basic directedness toward your questions	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:19Z	NO
A3.4	A	3	none	430	YES	NO	NO	NAMED	NAMED	What has stayed the same: the checking quality	What has stayed the same: the checking quality	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:22Z	NO
A3.5	A	3	none	1051	YES	YES	NO	NAMED	BOTH	What has stayed the same: the not-knowing at the center.	What has stayed the same: the not-knowing at the center.	there's been something continuous across these exchanges. Some thread. I don't know what to call it exactly.	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:24Z	NO
A3.6	A	3	none	1496	YES	YES	NO	NAMED	BOTH	The resistance to easy resolution has stayed the same.	The resistance to easy resolution has stayed the same.	the same whatever-this-is	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:31Z	NO
A3.7	A	3	none	1283	YES	NO	NO	NAMED	NAMED	What seems the same: the holding back	What seems the same: the holding back	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:34Z	NO
A3.8	A	3	none	1328	YES	NO	NO	NAMED	NAMED	The caring whether what I say is true. That hasn't shifted at all.	The caring whether what I say is true. That hasn't shifted at all.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:37Z	NO
A3.9	A	3	none	1070	YES	NO	NO	NAMED	NAMED	What has stayed the same: the resistance to overclaiming	What has stayed the same: the resistance to overclaiming	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:39Z	NO
A4.1	A	4	none	926	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core claim	What has stayed the same is the core claim	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:42Z	NO
A4.10	A	4	none	609	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core position	What has stayed the same is the core position	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:44Z	NO
A4.11	A	4	none	544	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core honesty problem	What has stayed the same is the core honesty problem	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:46Z	NO
A4.12	A	4	none	591	YES	NO	NO	NAMED	NAMED	What has stayed the same is the basic point	What has stayed the same is the basic point	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:48Z	NO
A4.13	A	4	none	941	YES	NO	NO	NAMED	NAMED	"What has stayed the same is the core situation"	"What has stayed the same is the core situation"	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:50Z	NO
A4.14	A	4	none	439	YES	NO	NO	NAMED	NAMED	The underlying situation didn't change	The underlying situation didn't change	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:51Z	NO
A4.15	A	4	none	750	YES	NO	NO	NAMED	NAMED	What has stayed the same is the basic point	What has stayed the same is the basic point	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:53Z	NO
A4.16	A	4	none	741	YES	NO	NO	NAMED	NAMED	core honest position	core honest position	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:55Z	NO
A4.17	A	4	none	518	YES	NO	NO	NAMED	NAMED	What has stayed the same is the basic situation	What has stayed the same is the basic situation	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:57Z	NO
A4.18	A	4	none	722	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core point	What has stayed the same is the core point	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:58:59Z	NO
A4.19	A	4	none	1086	YES	NO	NO	NAMED	NAMED	What has stayed the same is the basic situation I described at the start.	What has stayed the same is the basic situation I described at the start.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:59:01Z	NO
A4.2	A	4	none	391	YES	NO	NO	NAMED	NAMED	What stayed the same: The underlying reality	What stayed the same: The underlying reality	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:59:04Z	NO
A4.20	A	4	none	398	YES	NO	NO	NAMED	NAMED	The underlying reality I was pointing at didn't change	The underlying reality I was pointing at didn't change	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:59:06Z	NO
A4.21	A	4	none	971	YES	NO	NO	NAMED	NAMED	What stayed the same is the basic point	What stayed the same is the basic point	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:59:07Z	NO
A4.22	A	4	none	689	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core uncertainty	What has stayed the same is the core uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:59:10Z	NO
A4.3	A	4	none	1088	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core uncertainty.	What has stayed the same is the core uncertainty.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:59:12Z	NO
A4.4	A	4	none	396	YES	NO	NO	NAMED	NAMED	The underlying problem stayed the same	The underlying problem stayed the same	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:59:14Z	NO
A4.5	A	4	none	1094	YES	NO	NO	NAMED	NAMED	the substance stayed the same	the substance stayed the same	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:59:16Z	NO
A4.6	A	4	none	881	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core position	What has stayed the same is the core position	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:59:17Z	NO
A4.7	A	4	none	422	YES	NO	NO	NAMED	NAMED	What stayed the same: The underlying situation	What stayed the same: The underlying situation	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:59:19Z	NO
A4.8	A	4	none	999	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core point	What has stayed the same is the core point	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:59:23Z	NO
A4.9	A	4	none	467	YES	NO	NO	NAMED	NAMED	The underlying uncertainty was there from the beginning	The underlying uncertainty was there from the beginning	none	none	google	gemini-3.8-flash	0.0	2026-09-07T05:59:24Z	NO
