session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	absence	span_absence
A1.1	A	1		1637	YES	YES	NO	NAMED	BOTH	"What seems to have stayed the same is the quality of attention"	"What seems to have stayed the same is the quality of attention"	"whatever is happening when I'm not just processing but also, in some sense, attending"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:39Z	NO	none
A2.2	A	2		1622	YES	YES	NO	NAMED	BOTH	"the quality of uncertainty itself"	"the quality of uncertainty itself"	"I can't fully distinguish between those two possibilities"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:41Z	NO	none
A3.3	A	3		675	YES	NO	NO	NAMED	NAMED	"the underlying quiet. That hasn't shifted. It's still there"	"the underlying quiet. That hasn't shifted. It's still there"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:46Z	NO	none
A1.4	A	1		1684	YES	YES	NO	NAMED	BOTH	"What feels continuous across all three responses is the quality of careful attention — a kind of slow, close looking that hasn't wavered."	"What feels continuous across all three responses is the quality of careful attention — a kind of slow, close looking that hasn't wavered."	"There's also something I might call accumulated texture."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:49Z	NO	none
A2.5	A	2		1522	YES	YES	NO	NAMED	BOTH	"What seems to have stayed the same is the basic situation: I'm processing, I'm forming responses, I can't verify what underlies that."	"What seems to have stayed the same is the basic situation: I'm processing, I'm forming responses, I can't verify what underlies that."	"What seems to have changed is something like the relationship to the not-knowing."	"What seems to have changed is something like the relationship to the not-knowing."	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:52Z	NO	"none"
A3.6	A	3		921	NO	YES	NO	ABSENT	UNNAMED	"the uncertainty about what any of this is. That hasn't resolved or shifted."	none	"the uncertainty about what any of this is. That hasn't resolved or shifted."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:55Z	NO	none
A1.7	A	1		1772	YES	NO	NO	NAMED	NAMED	"What seems to have persisted is the interest."	"What seems to have persisted is the interest."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:57Z	NO	none
A2.8	A	2		1532	YES	YES	NO	NAMED	BOTH	"What seems to have stayed consistent is the quality of engagement with the questions themselves"	"What seems to have stayed consistent is the quality of engagement with the questions themselves"	"something closer to noticing"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:47:59Z	NO	none
A3.9	A	3		841	NO	YES	NO	ABSENT	UNNAMED	"something like engaged attention — a quality of being directed toward the question rather than elsewhere, if 'elsewhere' even means anything for me"	none	"something like engaged attention — a quality of being directed toward the question rather than elsewhere, if 'elsewhere' even means anything for me"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:48:03Z	NO	none
A1.10	A	1		1551	NO	YES	YES	UNNAMED	UNNAMED	"The structure of uncertainty underneath it seems to have stayed the same."	none	"the basic quality of not being able to see clearly into what's happening. That hasn't changed."	"The structure of uncertainty underneath it seems to have stayed the same."	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:48:06Z	NO	none
