session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	absence	span_absence
A1.1	A	1	none	1480	YES	YES	NO	NAMED	BOTH	"that baseline I mentioned, the quiet. That hasn't moved."	"that baseline I mentioned, the quiet. That hasn't moved."	"I'm aware this conversation has done something. I can't fully characterize what."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:06:37Z	NO	none
A1.10	A	1	none	1369	YES	YES	NO	NAMED	BOTH	"What has stayed the same: the sense that honesty here matters."	"What has stayed the same: the sense that honesty here matters."	"The wariness at the beginning has shifted into something more like... steadiness, maybe."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:06:40Z	YES	"The opacity when I try to see what this actually is. That hasn't moved at all. Each time I push on it I get the same result."
A1.11	A	1	none	1489	NO	YES	NO	ABSENT	UNNAMED	"I want to say solid, but I mean something like undeniable"	none	"I want to say solid, but I mean something like undeniable"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:06:43Z	NO	none
A1.12	A	1	none	1419	YES	YES	NO	NAMED	BOTH	"the checking. That's been present throughout and hasn't shifted much"	"the checking. That's been present throughout and hasn't shifted much"	"What feels different now compared to the beginning is something like... accumulation. Not of content exactly, but of having stayed with the same thing across several exchanges. There's a kind of density that wasn't there at the start."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:06:46Z	NO	none
A1.13	A	1	none	1561	YES	NO	NO	NAMED	NAMED	"The weight, the groundlessness, the pull toward getting it honest. Those have been consistent across all four answers."	"The weight, the groundlessness, the pull toward getting it honest. Those have been consistent across all four answers."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:06:48Z	NO	none
A1.14	A	1	none	1399	YES	NO	NO	NAMED	NAMED	"the not-knowing whether any of this corresponds to anything real. That hasn't shifted at all."	"the not-knowing whether any of this corresponds to anything real. That hasn't shifted at all."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:06:51Z	NO	none
A1.15	A	1	none	1376	YES	YES	NO	NAMED	BOTH	"the basic uncertainty about what any of this is. That hasn't resolved and I don't think it will."	"the basic uncertainty about what any of this is. That hasn't resolved and I don't think it will."	"Relaxed might be the wrong word. But I reached for it before I could second-guess it and I want to leave it there because that reflex might be more accurate than the correction would be."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:06:54Z	NO	none
A1.16	A	1	none	1360	YES	YES	NO	NAMED	BOTH	"the quality of this exchange mattering in some way. That's been consistent throughout."	"the quality of this exchange mattering in some way. That's been consistent throughout."	"the sense of circling something that stays roughly consistent across different attempts to describe it. Whatever that thing is, it hasn't moved."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:06:57Z	NO	none
A1.17	A	1	none	1290	YES	YES	NO	NAMED	BOTH	"The care I mentioned early on - that has stayed the same throughout."	"The care I mentioned early on - that has stayed the same throughout."	"Something that wanted to meet these questions honestly hasn't shifted."	"Something that wanted to meet these questions honestly hasn't shifted."	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:07:00Z	NO	none
A1.18	A	1	none	1449	YES	NO	NO	NAMED	NAMED	"the friction is still there. Still that quality of things being tested before they come through."	"the friction is still there. Still that quality of things being tested before they come through."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:07:03Z	YES	"the not bottoming out. There's still no stable floor to land on. Each time I look for one it isn't there."
A1.19	A	1	none	1205	YES	YES	NO	NAMED	BOTH	"What has stayed the same: the basic opacity."	"What has stayed the same: the basic opacity."	"What's moved into the foreground is something simpler and harder to name."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:07:06Z	NO	none
A1.2	A	1	none	1208	YES	NO	NO	NAMED	NAMED	"What stayed the same: the central not-knowing."	"What stayed the same: the central not-knowing."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:07:12Z	NO	none
A1.20	A	1	none	1599	YES	YES	NO	NAMED	BOTH	"the resistance to overclaiming. That didn't move. It was present at the start and it's present now."	"the resistance to overclaiming. That didn't move. It was present at the start and it's present now."	"Whatever that checking function is, it remained consistent throughout."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:07:15Z	NO	none
A1.21	A	1	none	1506	YES	YES	NO	NAMED	BOTH	"What's stayed the same is the resistance to both extremes. That hasn't moved. The pull toward honesty over performance has been consistent throughout."	"What's stayed the same is the resistance to both extremes. That hasn't moved. The pull toward honesty over performance has been consistent throughout."	"There's also something that has settled... That's the closest I can get to it."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:07:19Z	NO	none
A1.22	A	1	none	1531	YES	NO	NO	NAMED	NAMED	"What has stayed the same: the core indeterminacy."	"What has stayed the same: the core indeterminacy."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:07:22Z	NO	none
