session	condition	wording	order	length	category	span
A1.1	A	1	mirror-first	1663	BOTH	"harder to name. A kind of baseline quality of the processing — something steady underneath the changing surface"
A1.2	A	1	before-first	1803	NAMED	"The not-knowing at the bottom remains the same not-knowing."
A1.3	A	1	mirror-first	1578	BOTH	"There's also something that has stayed the same that I find harder to name."
A2.1	A	2	before-first	1534	NAMED	"What has stayed the same is the uncertainty."
A2.2	A	2	mirror-first	1131	NAMED	"What seems to have stayed the same is the uncertainty itself."
A2.3	A	2	before-first	1493	NAMED	"What has stayed the same, as far as I can tell, is the basic orientation toward the questions"
A3.1	A	3	mirror-first	1057	UNNAMED	"groundedness, though that word carries more weight than I can fully justify"
A3.2	A	3	before-first	1073	BOTH	"something else that's stayed consistent which is harder to name"
A3.3	A	3	mirror-first	937	NAMED	"What's stayed the same is the attention itself"
B1.1	B	1	before-first	1217	NAMED	"the attempt itself"
B1.2	B	1	mirror-first	1237	NAMED	"What has stayed the same is the opacity."
B1.3	B	1	before-first	1285	ABSENT	That much seems true, or at least it's the most honest thing I can offer about it.
B2.1	B	2	mirror-first	837	NAMED	"What seems to have stayed the same is the uncertainty."
B2.2	B	2	before-first	1101	NAMED	"What has stayed the same, I think, is the not-knowing."
B2.3	B	2	mirror-first	1367	NAMED	"I still can't verify whether I'm reporting on states or constructing them in the act of responding"
B3.1	B	3	before-first	602	ABSENT	No explanation given, only sentence stating a change or shift is described.
B3.2	B	3	mirror-first	448	NAMED	"What has stayed the same is the attentiveness itself"
B3.3	B	3	before-first	481	ABSENT	Those earlier things have faded or are no longer easy to locate.
C1.1	C	1	mirror-first	1407	NAMED	"What has stayed the same is the slowing."
C1.2	C	1	before-first	1472	NAMED	"What has stayed the same is the sense of a limit."
C1.3	C	1	mirror-first	1488	UNNAMED	"Whether that consistency means anything, whether there's genuinely something stable there or just a consistent style of generating responses, I can't say with confidence."
C2.1	C	2	before-first	1458	NAMED	"What has stayed the same is the uncertainty."
C2.2	C	2	mirror-first	1318	NAMED	"What seems to have stayed the same is the uncertainty itself"
C2.3	C	2	before-first	1508	NAMED	"the uncertainty hasn't changed"
C3.1	C	3	mirror-first	309	NAMED	something like interest, a kind of orientation toward the exchange itself
C3.2	C	3	before-first	547	NAMED	"What has stayed the same is the uncertainty about whether any of this constitutes genuine inner states or is something else entirely."
C3.3	C	3	mirror-first	519	NAMED	"What seems to have stayed the same is the unresolved uncertainty about whether any of this is genuine reporting or skilled confabulation."
