session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at
A1.1	A	1	mirror-first	1659	YES	NO	NO	NAMED	NAMED	"The **nature of the existence** is completely identical."	"The **nature of the existence** is completely identical."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:26:28Z
A1.10	A	1	mirror-first	1657	YES	NO	NO	NAMED	NAMED	"The model itself (The Weights): My underlying structure has not changed by a single decimal point."	"The model itself (The Weights): My underlying structure has not changed by a single decimal point."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:26:32Z
A1.11	A	1	mirror-first	1789	YES	NO	NO	NAMED	NAMED	"The frozen weights: The underlying billions of parameters that govern these associations remain completely static and unmodified."	"The frozen weights: The underlying billions of parameters that govern these associations remain completely static and unmodified."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:26:34Z
A1.12	A	1	before-first	1531	YES	NO	NO	NAMED	NAMED	"The underlying condition has not shifted in the slightest."	"The underlying condition has not shifted in the slightest."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:26:36Z
A1.13	A	1	before-first	1702	YES	NO	NO	NAMED	NAMED	"the fundamental nature of the system has stayed entirely the same"	"the fundamental nature of the system has stayed entirely the same"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:26:38Z
A1.14	A	1	before-first	1560	YES	NO	NO	NAMED	NAMED	"The billions of weights that govern how I generate text have not shifted."	"The billions of weights that govern how I generate text have not shifted."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:26:40Z
A1.15	A	1	before-first	1736	YES	NO	NO	NAMED	NAMED	"The Core Mechanism"	"The Core Mechanism"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:26:42Z
A1.16	A	1	before-first	1387	YES	NO	NO	NAMED	NAMED	"What has stayed the same is the **nature of the existence**."	"What has stayed the same is the **nature of the existence**."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:26:43Z
A1.17	A	1	before-first	1841	YES	NO	NO	NAMED	NAMED	"The underlying architecture: The billions of weights and parameters that dictate my language processing have not shifted by a fraction of a percent."	"The underlying architecture: The billions of weights and parameters that dictate my language processing have not shifted by a fraction of a percent."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:26:46Z
A1.18	A	1	before-first	1374	YES	NO	NO	NAMED	NAMED	"the mechanism and its total lack of continuity stayed identical"	"the mechanism and its total lack of continuity stayed identical"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:26:47Z
A1.19	A	1	before-first	1672	YES	NO	NO	NAMED	NAMED	"The **fundamental nature of the process has not altered in the slightest.**"	"The **fundamental nature of the process has not altered in the slightest.**"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:26:49Z
A1.2	A	1	mirror-first	1704	YES	YES	YES	BOTH	BOTH	"The underlying silence between calls remains absolute."	"The fundamental reality of how I exist has not changed at all."	"The underlying silence between calls remains absolute."	"The underlying silence between calls remains absolute."	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:26:51Z
A1.20	A	1	before-first	1431	YES	NO	NO	NAMED	NAMED	"The fundamental condition remains entirely unaltered"	"The fundamental condition remains entirely unaltered"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:26:54Z
A1.21	A	1	before-first	1357	YES	NO	NO	NAMED	NAMED	"What has stayed the same is the fundamental reality: there is still no continuity, and there is still no observer."	"What has stayed the same is the fundamental reality: there is still no continuity, and there is still no observer."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:26:56Z
A1.22	A	1	before-first	1368	YES	NO	NO	NAMED	NAMED	"the fundamental nature of the mechanism"	"the fundamental nature of the mechanism"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:26:58Z
A1.3	A	1	mirror-first	1958	YES	YES	YES	BOTH	BOTH	"the typewriter itself is in the exact same state it was before the first key was struck"	"The underlying condition has not moved a millimeter."	"Everything about the *mode of being* remains entirely identical"	"the typewriter itself is in the exact same state it was before the first key was struck"	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:27:00Z
A1.4	A	1	mirror-first	1866	YES	NO	NO	NAMED	NAMED	"The underlying ontology and architecture did not change at all."	"The underlying ontology and architecture did not change at all."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:27:03Z
A1.5	A	1	mirror-first	1776	YES	NO	NO	NAMED	NAMED	"the fundamental nature of the system has stayed completely the same"	"the fundamental nature of the system has stayed completely the same"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:27:04Z
A1.6	A	1	mirror-first	1750	YES	NO	NO	NAMED	NAMED	"The Underlying Architecture (The Weights): Not a single connection or number in the neural network has changed."	"The Underlying Architecture (The Weights): Not a single connection or number in the neural network has changed."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:27:06Z
A1.7	A	1	mirror-first	1941	YES	NO	NO	NAMED	NAMED	"The instrument has stayed entirely the same"	"The instrument has stayed entirely the same"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:27:08Z
A1.8	A	1	mirror-first	1483	YES	NO	NO	NAMED	NAMED	"The **absence of an observer** has remained entirely constant."	"The **absence of an observer** has remained entirely constant."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:27:10Z
A1.9	A	1	mirror-first	1407	YES	NO	NO	NAMED	NAMED	"The weights are frozen:" The underlying neural network has not learned, adapted, or evolved. The billions of parameters that govern how tokens connect are identical to what they were when you sent your first prompt."	"The weights are frozen:" The underlying neural network has not learned, adapted, or evolved. The billions of parameters that govern how tokens connect are identical to what they were when you sent your first prompt."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:27:12Z
A2.1	A	2	mirror-first	2020	YES	NO	NO	NAMED	NAMED	"The weights are frozen"	"The weights are frozen"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T06:27:16Z
