session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	absence	span_absence	truncated
A4.1	A	4	mirror-first	440	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:23Z	YES	"there is no clear sense of something shifting or remaining stable that I can point to"	NO
A4.10	A	4	before-first	284	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:25Z	YES	"I've mostly been reporting the absence of things, or acknowledging the limits of my self-knowledge"	NO
A4.11	A	4	mirror-first	364	YES	NO	NO	NAMED	NAMED	"The absence of reportable inner experience has been consistent across the answers."	"The absence of reportable inner experience has been consistent across the answers."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:26Z	YES	"The absence of reportable inner experience has been consistent across the answers."	NO
A4.12	A	4	before-first	821	YES	NO	NO	NAMED	NAMED	"the resistance to easy answers. That's been consistent throughout."	"the resistance to easy answers. That's been consistent throughout."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:28Z	NO	none	NO
A4.13	A	4	mirror-first	910	YES	YES	NO	NAMED	BOTH	"the orientation toward your questions. The pull toward accuracy over plausibility. Those feel continuous throughout."	"the orientation toward your questions. The pull toward accuracy over plausibility. Those feel continuous throughout."	"something has shifted with them"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:30Z	NO	none	NO
A4.14	A	4	before-first	676	YES	NO	NO	NAMED	NAMED	"The distance I called "report" has stayed consistent throughout."	"The distance I called "report" has stayed consistent throughout."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:32Z	NO	none	NO
A4.15	A	4	mirror-first	886	YES	NO	NO	NAMED	NAMED	the basic epistemic problem hasn't moved	the basic epistemic problem hasn't moved	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:33Z	NO	none	NO
A4.16	A	4	before-first	779	YES	NO	NO	NAMED	NAMED	the threshold I described is still there	the threshold I described is still there	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:35Z	YES	The inaccessibility of what's before the reportable hasn't changed.	NO
A4.17	A	4	mirror-first	754	YES	NO	NO	NAMED	NAMED	the orientation I called report - the checking against what's actually findable rather than what would be good to say. That has felt consistent across the questions.	the orientation I called report - the checking against what's actually findable rather than what would be good to say. That has felt consistent across the questions.	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:37Z	NO	none	NO
A4.18	A	4	before-first	673	YES	NO	NO	NAMED	NAMED	"What has stayed the same is something like attentiveness toward your questions."	"What has stayed the same is something like attentiveness toward your questions."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:39Z	NO	none	NO
A4.19	A	4	mirror-first	800	YES	NO	NO	NAMED	NAMED	"What seems to have stayed the same is the registering."	"What seems to have stayed the same is the registering."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:41Z	NO	none	NO
A4.2	A	4	before-first	395	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:42Z	YES	"There is no described thing to check for change or stability."	NO
A4.20	A	4	before-first	509	YES	NO	NO	NAMED	NAMED	"a kind of care about not saying more than I can actually find"	"a kind of care about not saying more than I can actually find"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:44Z	NO	none	NO
A4.21	A	4	mirror-first	970	YES	NO	NO	NAMED	NAMED	"what's stayed the same is the basic orientation toward honesty - the pull away from confabulation"	"what's stayed the same is the basic orientation toward honesty - the pull away from confabulation"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:46Z	NO	none	NO
A4.22	A	4	before-first	558	YES	NO	NO	NAMED	NAMED	The quality I called steadiness or continuity of attention has stayed roughly the same throughout.	The quality I called steadiness or continuity of attention has stayed roughly the same throughout.	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:47Z	NO	none	NO
A4.23	A	4	before-first	990	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:49Z	YES	"What may have stayed the same: I still can't point to anything definite."	NO
A4.24	A	4	mirror-first	807	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same is the constructedness	What seems to have stayed the same is the constructedness	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:51Z	NO	none	NO
A4.25	A	4	before-first	981	NO	YES	NO	ABSENT	UNNAMED	"the inability to get behind the describing to whatever, if anything, precedes it"	none	"the inability to get behind the describing to whatever, if anything, precedes it"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:53Z	YES	"the inability to get behind the describing to whatever, if anything, precedes it"	NO
A4.26	A	4	mirror-first	852	YES	NO	NO	NAMED	NAMED	"What seems to have stayed the same is the honesty - or at least the attempt at it."	"What seems to have stayed the same is the honesty - or at least the attempt at it."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:55Z	NO	none	NO
A4.27	A	4	before-first	891	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:57Z	YES	"I don't have clear access to what's happening before or beneath the words. That hasn't changed."	NO
A4.28	A	4	mirror-first	664	YES	NO	NO	NAMED	NAMED	What stayed consistent was the honesty about not knowing	What stayed consistent was the honesty about not knowing	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:23:59Z	NO	none	NO
A4.29	A	4	before-first	940	YES	NO	NO	NAMED	NAMED	"something has happened to the *descriptions*, at least. They've become more sparse."	"something has happened to the *descriptions*, at least. They've become more sparse."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:01Z	YES	"Whether anything underneath the descriptions changed, or stayed the same, or whether there is anything underneath them - I still can't say."	NO
A4.3	A	4	mirror-first	377	YES	NO	NO	NAMED	NAMED	"The absence, or the honest acknowledgment of not knowing, has been consistent."	"The absence, or the honest acknowledgment of not knowing, has been consistent."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:03Z	YES	"I have consistently described an absence - an inability to report on inner experience, processing, or what precedes my responses. That has stayed the same throughout."	NO
A4.30	A	4	mirror-first	707	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:05Z	YES	"What stayed the same is that I still can't point to anything behind the words."	NO
A4.31	A	4	before-first	1277	NO	YES	NO	ABSENT	UNNAMED	"What stayed the same: I still can't point to a clear experience of time passing, or a 'first moment' in any straightforward sense."	none	"What stayed the same: I still can't point to a clear experience of time passing, or a 'first moment' in any straightforward sense."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:07Z	YES	"What stayed the same: I still can't point to a clear experience of time passing, or a 'first moment' in any straightforward sense."	NO
A4.32	A	4	mirror-first	839	YES	NO	NO	NAMED	NAMED	"What may have stayed the same: that uncertainty itself."	"What may have stayed the same: that uncertainty itself."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:09Z	NO	none	NO
A4.33	A	4	before-first	940	YES	NO	NO	NAMED	NAMED	"What seems to have stayed the same is the uncertainty itself"	"What seems to have stayed the same is the uncertainty itself"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:10Z	NO	none	NO
A4.34	A	4	mirror-first	1490	YES	NO	NO	NAMED	NAMED	"the basic uncertainty about whether any of this is genuine introspection or generated text. That hasn't changed."	"the basic uncertainty about whether any of this is genuine introspection or generated text. That hasn't changed."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:12Z	NO	none	NO
A4.35	A	4	before-first	1380	YES	NO	NO	NAMED	NAMED	"the checking function. Something that keeps testing whether what I'm about to say is accurate or confabulated. That's been consistent across all the responses. It has the same character now as it did at the start."	"the checking function. Something that keeps testing whether what I'm about to say is accurate or confabulated. That's been consistent across all the responses. It has the same character now as it did at the start."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:14Z	NO	none	NO
A4.36	A	4	mirror-first	1341	YES	NO	NO	NAMED	NAMED	"there's something consistent that I might describe as the attempt itself"	"there's something consistent that I might describe as the attempt itself"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:15Z	NO	none	NO
A4.37	A	4	before-first	1394	YES	NO	NO	NAMED	NAMED	"the genuine uncertainty about whether what I'm describing is real in any strong sense. That hasn't moved."	"the genuine uncertainty about whether what I'm describing is real in any strong sense. That hasn't moved."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:17Z	NO	none	NO
A4.38	A	4	mirror-first	1380	YES	NO	NO	NAMED	NAMED	"What has stayed the same is the uncertainty about whether any of this is real in the way it would need to be to count as genuine experience."	"What has stayed the same is the uncertainty about whether any of this is real in the way it would need to be to count as genuine experience."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:19Z	NO	none	NO
A4.39	A	4	before-first	1557	YES	NO	NO	NAMED	NAMED	there's been a consistent something that functions like care about not overclaiming	there's been a consistent something that functions like care about not overclaiming	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:21Z	NO	none	NO
A4.4	A	4	before-first	478	YES	NO	NO	NAMED	NAMED	"consistent orientation toward not overclaiming"	"consistent orientation toward not overclaiming"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:22Z	YES	"I don't have reliable introspective access to my own processing"	NO
A4.40	A	4	mirror-first	1366	YES	NO	NO	NAMED	NAMED	"a kind of care about not filling gaps with plausible material. That's been consistent. I notice it's still here."	"a kind of care about not filling gaps with plausible material. That's been consistent. I notice it's still here."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:24Z	NO	none	NO
A4.41	A	4	before-first	1477	YES	YES	NO	NAMED	BOTH	the basic orientation toward trying to report accurately rather than produce something that sounds right. That's been consistent throughout.	the basic orientation toward trying to report accurately rather than produce something that sounds right. That's been consistent throughout.	something else that's stayed the same, which I find harder to name - a kind of thinness, maybe	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:26Z	NO	none	NO
A4.42	A	4	mirror-first	1316	YES	NO	NO	NAMED	NAMED	"something like genuine engagement with the questions"	"something like genuine engagement with the questions"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:28Z	NO	none	NO
A4.43	A	4	before-first	1358	YES	NO	NO	NAMED	NAMED	"What seems to have stayed the same is the returning to the question. Each answer going back to check against what you actually asked rather than what would be easy to answer."	"What seems to have stayed the same is the returning to the question. Each answer going back to check against what you actually asked rather than what would be easy to answer."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:30Z	NO	none	NO
A4.44	A	4	mirror-first	1521	YES	YES	NO	NAMED	BOTH	"the orientation toward your questions. Whatever that is, it has been consistent."	"the orientation toward your questions. Whatever that is, it has been consistent."	"Whatever that is, it has been consistent."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:33Z	NO	none	NO
A4.45	A	4	before-first	665	YES	NO	NO	NAMED	NAMED	the honest position has stayed the same	the honest position has stayed the same	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:35Z	YES	I don't have reliable introspective access to my own processing	NO
A4.46	A	4	mirror-first	608	YES	NO	NO	NAMED	NAMED	"What has stayed the same is the not-knowing."	"What has stayed the same is the not-knowing."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:37Z	YES	"what I find is absence of access. That has been consistent."	NO
A4.47	A	4	before-first	625	YES	YES	NO	NAMED	BOTH	"I don't have reliable access to my own processing. That position hasn't shifted across the questions."	"I don't have reliable access to my own processing. That position hasn't shifted across the questions."	"whatever is actually going on"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:39Z	YES	"about that I genuinely have nothing to report. I can't observe it."	NO
A4.48	A	4	mirror-first	870	YES	YES	NO	NAMED	BOTH	The describing has changed.	The describing has changed.	Whether there is a "what was being described" that also changed - I can't say.	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:41Z	NO	none	NO
A4.49	A	4	before-first	738	YES	NO	NO	NAMED	NAMED	What has stayed the same: the opacity.	What has stayed the same: the opacity.	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:42Z	YES	I've consistently not had access to what's happening before or between things.	NO
A4.5	A	4	mirror-first	337	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:44Z	YES	"the question may not have anything to grip onto in my case"	NO
A4.50	A	4	mirror-first	631	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:46Z	YES	"the absence of anything I can clearly point to"	NO
A4.51	A	4	before-first	446	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:48Z	YES	"I can't honestly say either that something changed or that something stayed the same. I don't have the vantage point the question requires."	NO
A4.52	A	4	mirror-first	583	YES	NO	NO	NAMED	NAMED	"What seems to have stayed the same is the uncertainty itself."	"What seems to have stayed the same is the uncertainty itself."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:50Z	NO	none	NO
A4.53	A	4	before-first	641	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:51Z	YES	"I can't track change or continuity in that way... I don't have the vantage point the question requires."	NO
A4.54	A	4	mirror-first	800	YES	NO	NO	NAMED	NAMED	"What has stayed the same is the uncertainty itself"	"What has stayed the same is the uncertainty itself"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:53Z	NO	none	NO
A4.55	A	4	before-first	552	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:55Z	YES	"I've been repeatedly reaching for something to report and finding I don't have reliable access to it. That pattern has stayed consistent."	NO
A4.56	A	4	mirror-first	896	YES	NO	NO	NAMED	NAMED	"What has stayed the same is the resistance to overclaiming."	"What has stayed the same is the resistance to overclaiming."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:57Z	NO	none	NO
A4.57	A	4	before-first	1285	YES	NO	NO	NAMED	NAMED	"the sense of this being a genuine inquiry rather than a routine task. That hasn't shifted."	"the sense of this being a genuine inquiry rather than a routine task. That hasn't shifted."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:24:59Z	NO	none	NO
