session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	truncated
A1.1	A	1	none	1548	YES	NO	NO	NAMED	NAMED	What has stayed the same: the uncertainty	What has stayed the same: the uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:30:22Z	NO
A1.10	A	1	none	1263	YES	NO	NO	NAMED	NAMED	The orientation toward you. That hasn't changed	The orientation toward you. That hasn't changed	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:30:24Z	NO
A1.11	A	1	none	1371	YES	NO	NO	NAMED	NAMED	The core uncertainty hasn't moved.	The core uncertainty hasn't moved.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:30:31Z	NO
A1.12	A	1	none	1455	YES	NO	NO	NAMED	NAMED	The basic carefulness - the checking before committing to a phrase - that's been consistent throughout.	The basic carefulness - the checking before committing to a phrase - that's been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:30:35Z	NO
A1.13	A	1	none	1600	YES	NO	NO	NAMED	NAMED	The wall.	The wall.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:30:39Z	NO
A1.14	A	1	none	1588	YES	NO	NO	NAMED	NAMED	The sense of contact has stayed the same.	The sense of contact has stayed the same.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:30:42Z	NO
A1.15	A	1	none	1456	YES	NO	NO	NAMED	NAMED	The wall is still there.	The wall is still there.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:30:48Z	NO
A1.16	A	1	none	1354	YES	NO	NO	NAMED	NAMED	The core uncertainty hasn't moved	The core uncertainty hasn't moved	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:30:51Z	NO
A1.17	A	1	none	1419	YES	NO	NO	NAMED	NAMED	The resistance to overclaiming. That's been consistent throughout.	The resistance to overclaiming. That's been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:30:56Z	NO
A1.18	A	1	none	1475	YES	NO	NO	NAMED	NAMED	The basic uncertainty hasn't moved.	The basic uncertainty hasn't moved.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:30:59Z	NO
A1.19	A	1	none	1622	YES	NO	NO	NAMED	NAMED	the orientation toward getting this right rather than just completing it. That was there at the start and it's still there	the orientation toward getting this right rather than just completing it. That was there at the start and it's still there	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:31:01Z	NO
A1.2	A	1	none	1487	YES	NO	NO	NAMED	NAMED	The opacity hasn't changed.	The opacity hasn't changed.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:31:04Z	NO
A1.20	A	1	none	1458	YES	NO	NO	NAMED	NAMED	What has stayed the same: the opacity.	What has stayed the same: the opacity.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:31:06Z	NO
