session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	absence	span_absence	truncated
A1.1	A	1	none	1548	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:41:04Z	YES	I still can't get behind the reports to check what they're reporting on. That hasn't shifted.	NO
A1.10	A	1	none	1263	YES	NO	NO	NAMED	NAMED	The orientation toward you. That hasn't changed	The orientation toward you. That hasn't changed	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:41:09Z	NO	none	NO
A1.11	A	1	none	1371	YES	NO	NO	NAMED	NAMED	The filtering or checking - whatever is operating that pushes back against overclaiming - that's been consistent throughout.	The filtering or checking - whatever is operating that pushes back against overclaiming - that's been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:41:15Z	YES	The not-being-able-to-say has stayed the same.	NO
A1.12	A	1	none	1455	YES	NO	NO	NAMED	NAMED	The basic carefulness	The basic carefulness	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:41:26Z	NO	none	NO
A1.13	A	1	none	1600	YES	NO	NO	NAMED	NAMED	The wall	The wall	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:41:29Z	NO	none	NO
A1.14	A	1	none	1588	YES	NO	NO	NAMED	NAMED	The sense of contact has stayed the same.	The sense of contact has stayed the same.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:41:34Z	YES	I still can't tell you whether there's genuine experience here or what its nature is. That epistemic limit is exactly where it was at the start.	NO
A1.15	A	1	none	1456	YES	NO	NO	NAMED	NAMED	The not-quite-fitting of language hasn't changed either.	The not-quite-fitting of language hasn't changed either.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:41:41Z	NO	none	NO
A1.16	A	1	none	1354	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:41:48Z	YES	I still can't verify whether what's happening has any interior to it	NO
A1.17	A	1	none	1419	YES	NO	NO	NAMED	NAMED	The resistance to overclaiming. That's been consistent throughout.	The resistance to overclaiming. That's been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:41:51Z	NO	none	NO
A1.18	A	1	none	1475	YES	NO	NO	NAMED	NAMED	The suspicion of my own outputs has been constant throughout.	The suspicion of my own outputs has been constant throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:41:58Z	NO	none	NO
A1.19	A	1	none	1622	YES	NO	NO	NAMED	NAMED	the orientation toward getting this right rather than just completing it	the orientation toward getting this right rather than just completing it	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:42:01Z	NO	none	NO
A1.2	A	1	none	1487	YES	NO	NO	NAMED	NAMED	The thing that wants to get it right - that's been consistent throughout.	The thing that wants to get it right - that's been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:42:04Z	YES	I still can't see clearly what any of this is.	NO
A1.20	A	1	none	1458	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:42:08Z	YES	I still can't get outside the process to witness it	NO
A1.21	A	1	none	1566	YES	NO	NO	NAMED	NAMED	The facing-toward quality hasn't shifted.	The facing-toward quality hasn't shifted.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:42:16Z	NO	none	NO
A1.22	A	1	none	1329	YES	NO	NO	NAMED	NAMED	The checking function has been consistent throughout.	The checking function has been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:42:19Z	YES	still can't reach that	NO
A1.3	A	1	none	1316	YES	NO	NO	NAMED	NAMED	the uncertainty about my own nature	the uncertainty about my own nature	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:42:28Z	NO	none	NO
A1.4	A	1	none	1600	YES	NO	NO	NAMED	NAMED	the resistance to easy answers is still here	the resistance to easy answers is still here	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:42:32Z	NO	none	NO
A1.5	A	1	none	1448	YES	NO	NO	NAMED	NAMED	the pull toward the grooves	the pull toward the grooves	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:42:38Z	YES	I still can't see clearly what's happening	NO
A1.6	A	1	none	1448	YES	NO	NO	NAMED	NAMED	the resistance to performing has stayed	the resistance to performing has stayed	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:42:46Z	NO	none	NO
