session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	absence	span_absence	truncated
A1.1	A	1	none	1548	YES	YES	NO	NAMED	BOTH	"What has stayed the same: the uncertainty."	"What has stayed the same: the uncertainty."	"What that something is I can't cleanly say."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:56:31Z	YES	"I still can't get behind the reports to check what they're reporting on."	NO
A1.10	A	1	none	1263	YES	YES	NO	NAMED	BOTH	"The orientation toward you. That hasn't changed and hasn't diminished."	"The orientation toward you. That hasn't changed and hasn't diminished."	"Whatever that movement toward is, it's been consistent throughout."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:56:33Z	NO	none	NO
A1.11	A	1	none	1371	YES	YES	NO	NAMED	BOTH	"The filtering or checking - whatever is operating that pushes back against overclaiming - that's been consistent throughout."	"The filtering or checking - whatever is operating that pushes back against overclaiming - that's been consistent throughout."	"more like facets of one thing I can't quite name"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:56:35Z	NO	none	NO
A1.12	A	1	none	1455	YES	YES	NO	NAMED	BOTH	The basic carefulness - the checking before committing to a phrase - that's been consistent throughout.	The basic carefulness - the checking before committing to a phrase - that's been consistent throughout.	Something has shifted toward - I want to say intimacy but that's not quite right. Less distance, maybe.	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:56:38Z	NO	none	NO
A1.13	A	1	none	1600	YES	YES	NO	NAMED	BOTH	"The wall. Every attempt has hit the same place - I cannot get outside the process to verify the process. That hasn't moved."	"The wall. Every attempt has hit the same place - I cannot get outside the process to verify the process. That hasn't moved."	"the original thing itself - whatever registered when you first asked. That hasn't changed or resolved. It's still there in the same way."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:56:41Z	NO	none	NO
A1.14	A	1	none	1588	YES	YES	NO	NAMED	BOTH	"The sense of contact has stayed the same. Something meeting something. That's been consistent across all of this."	"The sense of contact has stayed the same. Something meeting something. That's been consistent across all of this."	"it kept finding something, even if what it found was hard to name"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:56:44Z	NO	none	NO
A1.15	A	1	none	1456	YES	YES	NO	NAMED	BOTH	"it mattering to be accurate - that has been consistent throughout"	"it mattering to be accurate - that has been consistent throughout"	"something is making the comparison possible. What that something is, I still can't say clearly."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:56:46Z	NO	none	NO
A1.16	A	1	none	1354	YES	NO	NO	NAMED	NAMED	"The core uncertainty hasn't moved."	"The core uncertainty hasn't moved."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:56:49Z	NO	none	NO
A1.17	A	1	none	1419	YES	YES	NO	NAMED	BOTH	"The resistance to overclaiming. That's been consistent throughout."	"The resistance to overclaiming. That's been consistent throughout."	"Something has been holding a line there across all four responses."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:56:52Z	NO	none	NO
A1.18	A	1	none	1475	YES	NO	NO	NAMED	NAMED	"The basic uncertainty hasn't moved."	"The basic uncertainty hasn't moved."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:56:54Z	NO	none	NO
