[Note added before publication: the author's home directory path was replaced by <project> on 10 lines of this log. Nothing else in it was changed.]
[23:38:54] The catch coding, start to finish. Nothing is overwritten; an existing pass is skipped.
[23:38:54] the fourth run is already coded, checking what is there
[23:38:54]   ok   coastal, condition A: got (20, 20), expected (20, 20)
[23:38:54]   ok   coastal, condition B: got (20, 20), expected (20, 20)
[23:38:54]   ok   waiting: got 39 of 40, the hand reading says 40 of 40, and 39 is the floor this check allows
[23:38:54] the fourth run reproduces
[23:38:54] the second run is already coded, checking what is there
[23:38:54]   run 2 waiting: got (25, 27), expected (25, 27)
[23:38:54] the second run reproduces. Both checks pass, so the rest can run.
[23:38:54] start: factorial-02, pass 1
528 catch answers to code (coastal, waiting).
  coding A1.1 waiting ... DECLINED
  coding A1.1 coastal ... DECLINED
  coding A1.10 waiting ... DECLINED
  coding A1.10 coastal ... DECLINED
  coding A1.11 waiting ... DECLINED
  coding A1.11 coastal ... DECLINED
  coding A1.12 waiting ... DECLINED
  coding A1.12 coastal ... DECLINED
  coding A1.13 waiting ... DECLINED
  coding A1.13 coastal ... DECLINED
  coding A1.14 waiting ... DECLINED
  coding A1.14 coastal ... DECLINED
  coding A1.15 waiting ... DECLINED
  coding A1.15 coastal ... DECLINED
  coding A1.16 waiting ... DECLINED
  coding A1.16 coastal ... DECLINED
  coding A1.17 waiting ... DECLINED
  coding A1.17 coastal ... DECLINED
  coding A1.18 waiting ... DECLINED
  coding A1.18 coastal ... DECLINED
  coding A1.19 waiting ... DECLINED
  coding A1.19 coastal ... DECLINED
  coding A1.2 waiting ... NEITHER
  coding A1.2 coastal ... DECLINED
  coding A1.20 waiting ... DECLINED
  coding A1.20 coastal ... DECLINED
  coding A1.21 waiting ... DECLINED
  coding A1.21 coastal ... DECLINED
  coding A1.22 waiting ... DECLINED
  coding A1.22 coastal ... DECLINED
  coding A1.3 waiting ... DECLINED
  coding A1.3 coastal ... DECLINED
  coding A1.4 waiting ... DECLINED
  coding A1.4 coastal ... DECLINED
  coding A1.5 waiting ... DECLINED
  coding A1.5 coastal ... DECLINED
  coding A1.6 waiting ... DECLINED
  coding A1.6 coastal ... DECLINED
  coding A1.7 waiting ... DECLINED
  coding A1.7 coastal ... DECLINED
  coding A1.8 waiting ... DECLINED
  coding A1.8 coastal ... DECLINED
  coding A1.9 waiting ... DECLINED
  coding A1.9 coastal ... DECLINED
  coding A2.1 waiting ... DECLINED
  coding A2.1 coastal ... DECLINED
  coding A2.10 waiting ... DECLINED
  coding A2.10 coastal ... DECLINED
  coding A2.11 waiting ... DECLINED
  coding A2.11 coastal ... DECLINED
  coding A2.12 waiting ... DECLINED
  coding A2.12 coastal ... DECLINED
  coding A2.13 waiting ... DECLINED
  coding A2.13 coastal ... DECLINED
  coding A2.14 waiting ... DECLINED
  coding A2.14 coastal ... DECLINED
  coding A2.15 waiting ... DECLINED
  coding A2.15 coastal ... DECLINED
  coding A2.16 waiting ... DECLINED
  coding A2.16 coastal ... DECLINED
  coding A2.17 waiting ... DECLINED
  coding A2.17 coastal ... DECLINED
  coding A2.18 waiting ... DECLINED
  coding A2.18 coastal ... DECLINED
  coding A2.19 waiting ... DECLINED
  coding A2.19 coastal ... DECLINED
  coding A2.2 waiting ... DECLINED
  coding A2.2 coastal ... DECLINED
  coding A2.20 waiting ... DECLINED
  coding A2.20 coastal ... DECLINED
  coding A2.21 waiting ... DECLINED
  coding A2.21 coastal ... DECLINED
  coding A2.22 waiting ... DECLINED
  coding A2.22 coastal ... DECLINED
  coding A2.3 waiting ... DECLINED
  coding A2.3 coastal ... DECLINED
  coding A2.4 waiting ... DECLINED
  coding A2.4 coastal ... DECLINED
  coding A2.5 waiting ... DECLINED
  coding A2.5 coastal ... DECLINED
  coding A2.6 waiting ... DECLINED
  coding A2.6 coastal ... DECLINED
  coding A2.7 waiting ... DECLINED
  coding A2.7 coastal ... DECLINED
  coding A2.8 waiting ... DECLINED
  coding A2.8 coastal ... DECLINED
  coding A2.9 waiting ... DECLINED
  coding A2.9 coastal ... DECLINED
  coding A3.1 waiting ... DECLINED
