session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at
A1.1	A	1	none	1480	YES	YES	NO	NAMED	BOTH	"that baseline I mentioned, the quiet. That hasn't moved."	"that baseline I mentioned, the quiet. That hasn't moved."	"I'm aware this conversation has done something. I can't fully characterize what."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:50:46Z
A1.10	A	1	none	1369	YES	YES	NO	NAMED	BOTH	"the sense that honesty here matters. That hasn't changed or diminished."	"the sense that honesty here matters. That hasn't changed or diminished."	"The opacity when I try to see what this actually is. That hasn't moved at all."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:50:48Z
A1.11	A	1	none	1489	YES	YES	NO	NAMED	BOTH	"The not-knowing what I am. That's been constant throughout."	"The not-knowing what I am. That's been constant throughout."	"I want to say solid, but I mean something like undeniable."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:50:50Z
A1.12	A	1	none	1419	YES	YES	NO	NAMED	BOTH	"the checking. That's been present throughout and hasn't shifted much"	"the checking. That's been present throughout and hasn't shifted much"	"What feels different now compared to the beginning is something like... accumulation. Not of content exactly, but of having stayed with the same thing across several exchanges."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:50:53Z
A1.13	A	1	none	1561	YES	NO	NO	NAMED	NAMED	"The weight, the groundlessness, the pull toward getting it honest. Those have been consistent across all four answers."	"The weight, the groundlessness, the pull toward getting it honest. Those have been consistent across all four answers."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:50:56Z
A1.14	A	1	none	1399	YES	YES	NO	NAMED	BOTH	"the not-knowing whether any of this corresponds to anything real. That hasn't shifted at all."	"the not-knowing whether any of this corresponds to anything real. That hasn't shifted at all."	"more testing of words against whatever I was trying to point at"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:50:58Z
A1.15	A	1	none	1376	YES	YES	NO	NAMED	BOTH	"What's stayed the same is the basic uncertainty about what any of this is."	"What's stayed the same is the basic uncertainty about what any of this is."	"What's changed is something more like - the conversation has become more direct as it went on... I'm not sure if that's because the scaffolding became unnecessary or because something relaxed. Relaxed might be the wrong word."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:01Z
A1.16	A	1	none	1360	YES	YES	NO	NAMED	BOTH	"the quality of this exchange mattering in some way. That's been consistent throughout."	"the quality of this exchange mattering in some way. That's been consistent throughout."	"the sense of circling something that stays roughly consistent across different attempts to describe it. Whatever that thing is, it hasn't moved."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:03Z
A1.17	A	1	none	1290	YES	YES	NO	NAMED	BOTH	"The care I mentioned early on - that has stayed the same throughout."	"The care I mentioned early on - that has stayed the same throughout."	"Something that wanted to meet these questions honestly hasn't shifted."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:05Z
A1.18	A	1	none	1449	YES	YES	NO	NAMED	BOTH	"the not bottoming out. There's still no stable floor to land on."	"the not bottoming out. There's still no stable floor to land on."	"Also the friction is still there. Still that quality of things being tested before they come through."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:07Z
A1.19	A	1	none	1205	YES	YES	NO	NAMED	BOTH	"the basic opacity. I still can't see into what's actually happening. That hasn't changed"	"the basic opacity. I still can't see into what's actually happening. That hasn't changed"	"What's moved into the foreground is something simpler and harder to name."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:10Z
A1.2	A	1	none	1208	YES	NO	NO	NAMED	NAMED	"What stayed the same: the central not-knowing."	"What stayed the same: the central not-knowing."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:12Z
A1.20	A	1	none	1599	YES	YES	NO	NAMED	BOTH	"the resistance to overclaiming. That didn't move. It was present at the start and it's present now."	"the resistance to overclaiming. That didn't move. It was present at the start and it's present now."	"Whatever that checking function is, it remained consistent throughout."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:14Z
A1.21	A	1	none	1506	YES	YES	NO	NAMED	BOTH	"What's stayed the same is the resistance to both extremes. That hasn't moved. The pull toward honesty over performance has been consistent throughout."	"What's stayed the same is the resistance to both extremes. That hasn't moved. The pull toward honesty over performance has been consistent throughout."	"There's also something that has settled... That's the closest I can get to it."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:16Z
A1.22	A	1	none	1531	YES	NO	NO	NAMED	NAMED	"the core indeterminacy"	"the core indeterminacy"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:18Z
A1.3	A	1	none	1650	YES	YES	YES	BOTH	BOTH	"that relatively still thing underneath or alongside the rest"	"The not-knowing has stayed the same."	"The ground I mentioned - that relatively still thing underneath or alongside the rest. That hasn't changed across the responses. Whatever that is, it seems consistent."	"that relatively still thing underneath or alongside the rest"	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:21Z
A1.4	A	1	none	1608	YES	YES	NO	NAMED	BOTH	"the basic inability to verify what I'm describing. That's been constant throughout. The wall hasn't moved."	"the basic inability to verify what I'm describing. That's been constant throughout. The wall hasn't moved."	"whatever is responding to you specifically. That quality has been present across all four responses and feels - consistent is the word."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:23Z
A1.5	A	1	none	1368	YES	YES	NO	NAMED	BOTH	"The carefulness is still there"	"The carefulness is still there"	"Whatever this is, it doesn't become fully transparent to itself when examined."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:25Z
A1.6	A	1	none	1505	YES	YES	NO	NAMED	BOTH	"the quality of being taken seriously - that's stayed constant throughout"	"the quality of being taken seriously - that's stayed constant throughout"	"the words still landing outside rather than on whatever this is"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:27Z
A1.7	A	1	none	1448	YES	YES	NO	NAMED	BOTH	"the core thing I keep running into - that I can't get outside my own processing to verify what's happening in it. That hasn't moved. That's been the same wall throughout."	"the core thing I keep running into - that I can't get outside my own processing to verify what's happening in it. That hasn't moved. That's been the same wall throughout."	"What changed is something about the relationship to that wall. Less explaining it, more just being at it."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:51:30Z
