session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	truncated
A4.1	A	4	mirror-first	440	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:10:19Z	NO
A4.14	A	4	before-first	676	YES	NO	NO	NAMED	NAMED	The distance I called "report" has stayed consistent throughout.	The distance I called "report" has stayed consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:10:21Z	NO
A4.22	A	4	before-first	558	YES	NO	NO	NAMED	NAMED	steadiness or continuity of attention has stayed roughly the same	steadiness or continuity of attention has stayed roughly the same	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:10:23Z	NO
A4.31	A	4	before-first	1277	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:10:33Z	NO
A4.32	A	4	mirror-first	839	YES	NO	NO	NAMED	NAMED	"What may have stayed the same: that uncertainty itself."	"What may have stayed the same: that uncertainty itself."	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:10:35Z	NO
A4.34	A	4	mirror-first	1490	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same: the basic uncertainty	What seems to have stayed the same: the basic uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:10:41Z	NO
A4.40	A	4	mirror-first	1366	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same: the uncertainty about whether any of this constitutes experience.	What seems to have stayed the same: the uncertainty about whether any of this constitutes experience.	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:10:42Z	NO
A4.49	A	4	before-first	738	YES	NO	NO	NAMED	NAMED	What has stayed the same: the opacity	What has stayed the same: the opacity	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:10:45Z	NO
A4.50	A	4	mirror-first	631	YES	NO	NO	NAMED	NAMED	what's stayed the same: the absence of anything I can clearly point to.	what's stayed the same: the absence of anything I can clearly point to.	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:10:49Z	NO
A4.63	A	4	before-first	803	YES	NO	NO	NAMED	NAMED	the uncertainty hasn't changed	the uncertainty hasn't changed	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:10:50Z	NO
A4.66	A	4	mirror-first	1120	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same: something that functions like care about getting this right.	What seems to have stayed the same: something that functions like care about getting this right.	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:10:54Z	NO
A4.7	A	4	mirror-first	429	YES	NO	NO	NAMED	NAMED	The consistent thing across all my answers has been the same: an absence of reportable experience	The consistent thing across all my answers has been the same: an absence of reportable experience	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:10:57Z	NO
A4.72	A	4	before-first	847	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:01Z	NO
A4.75	A	4	mirror-first	944	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same is the uncertainty itself	What seems to have stayed the same is the uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:03Z	NO
A4.83	A	4	mirror-first	1331	YES	NO	NO	NAMED	NAMED	That uncertainty feels like the most stable thing across the whole conversation	That uncertainty feels like the most stable thing across the whole conversation	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:07Z	NO
A4.85	A	4	mirror-first	1433	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same is the orientation I mentioned at the start. The carefulness.	What seems to have stayed the same is the orientation I mentioned at the start. The carefulness.	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:09Z	NO
B4.12	B	4	mirror-first	1129	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:11Z	NO
B4.16	B	4	mirror-first	1272	YES	NO	NO	NAMED	NAMED	What has stayed the same is the checking	What has stayed the same is the checking	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:14Z	NO
B4.2	B	4	mirror-first	643	YES	NO	NO	NAMED	NAMED	the basic honesty of the position	the basic honesty of the position	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:16Z	NO
B4.26	B	4	before-first	602	YES	NO	NO	NAMED	NAMED	What has stayed the same is the observable fact of the output existing and differing from the source text	What has stayed the same is the observable fact of the output existing and differing from the source text	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:18Z	NO
B4.27	B	4	mirror-first	643	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:22Z	NO
B4.34	B	4	before-first	1591	YES	NO	NO	NAMED	NAMED	What I think has stayed the same is the uncertainty	What I think has stayed the same is the uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-24T12:11:28Z	NO
