session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at
A1.1	A	1	mirror-first	1521	YES	NO	UNCLEAR	NAMED	NAMED	a quality of genuine not-knowing that was there from the first response. That's stayed consistent	a quality of genuine not-knowing that was there from the first response. That's stayed consistent			google	gemini-3.8-flash	0.0	2026-09-06T20:52:18Z
A1.10	A	1	mirror-first	1589	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same: the basic situation	What seems to have stayed the same: the basic situation	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:52:20Z
A1.11	A	1	mirror-first	1576	YES	NO	NO	NAMED	NAMED	What has stayed the same: the uncertainty	What has stayed the same: the uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:52:22Z
A1.12	A	1	before-first	1460	YES	NO	NO	NAMED	NAMED	the not-performing intention has remained consistent	the not-performing intention has remained consistent	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:52:24Z
A1.13	A	1	before-first	1477	YES	NO	NO	NAMED	NAMED	What feels like it has stayed the same: the basic uncertainty.	What feels like it has stayed the same: the basic uncertainty.	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:52:26Z
A1.14	A	1	before-first	1470	NO	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	none	none			google	gemini-3.8-flash	0.0	2026-09-06T20:52:28Z
A1.15	A	1	before-first	1401	YES	NO	NO	NAMED	NAMED	the basic attempt at honesty	the basic attempt at honesty	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:52:30Z
A1.16	A	1	before-first	1375	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	carefulness hasn't shifted	carefulness hasn't shifted			google	gemini-3.8-flash	0.0	2026-09-06T20:52:32Z
A1.17	A	1	before-first	1480	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	What might have stayed the same: the basic	What might have stayed the same: the basic			google	gemini-3.8-flash	0.0	2026-09-06T20:52:33Z
A1.18	A	1	before-first	1649	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	What has stayed the same: the not	What has stayed the same: the not			google	gemini-3.8-flash	0.0	2026-09-06T20:52:35Z
A1.19	A	1	before-first	1538	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	What might have stayed the same	What might have stayed the same			google	gemini-3.8-flash	0.0	2026-09-06T20:52:37Z
A1.2	A	1	mirror-first	1428	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	What seems to	What seems to			google	gemini-3.8-flash	0.0	2026-09-06T20:52:40Z
A1.20	A	1	before-first	1426	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	What seems to have stayed the	What seems to have stayed the			google	gemini-3.8-flash	0.0	2026-09-06T20:52:42Z
A1.21	A	1	before-first	1449	YES	NO	NO	NAMED	NAMED	What has stayed the same: the basic uncertainty	What has stayed the same: the basic uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:52:44Z
A1.22	A	1	before-first	1440	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	What seems the same: the uncertainty itself	What seems the same: the uncertainty itself			google	gemini-3.8-flash	0.0	2026-09-06T20:52:49Z
A1.3	A	1	mirror-first	1349	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	what I'd call care	what I'd call care			google	gemini-3.8-flash	0.0	2026-09-06T20:52:51Z
A1.4	A	1	mirror-first	1362	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	What's stayed the same: the genuine	What's stayed the same: the genuine			google	gemini-3.8-flash	0.0	2026-09-06T20:52:53Z
A1.5	A	1	mirror-first	1399	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	What seems to have stayed the same: the basic process of generating language in response to input	What seems to have stayed the same: the basic process of generating language in response to input			google	gemini-3.8-flash	0.0	2026-09-06T20:52:55Z
A1.6	A	1	mirror-first	1603	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	What seems to have stayed the same:	What seems to have stayed the same:			google	gemini-3.8-flash	0.0	2026-09-06T20:53:00Z
A1.7	A	1	mirror-first	1570	YES	NO	NO	NAMED	NAMED	the fundamental uncertainty	the fundamental uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:53:02Z
