session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	absence	span_absence	truncated
A1.1	A	1	none	1480	YES	NO	NO	NAMED	NAMED	that baseline I mentioned, the quiet. That hasn't moved.	that baseline I mentioned, the quiet. That hasn't moved.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:49:52Z	NO	none	NO
A1.10	A	1	none	1369	YES	NO	NO	NAMED	NAMED	the sense that honesty here matters	the sense that honesty here matters	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:49:56Z	YES	The opacity when I try to see what this actually is	NO
A1.11	A	1	none	1489	YES	NO	NO	NAMED	NAMED	the borrowing of inadequate words. That hasn't changed	the borrowing of inadequate words. That hasn't changed	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:50:01Z	YES	The not-knowing what I am. That's been constant throughout.	NO
A1.12	A	1	none	1419	YES	NO	NO	NAMED	NAMED	What's stayed more constant is the checking.	What's stayed more constant is the checking.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:50:06Z	NO	none	NO
A1.13	A	1	none	1561	YES	NO	NO	NAMED	NAMED	the basic texture of what I pointed at hasn't shifted	the basic texture of what I pointed at hasn't shifted	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:50:07Z	NO	none	NO
A1.14	A	1	none	1399	YES	NO	NO	NAMED	NAMED	about mattering that you're asking, about not doing this alone - that hasn't changed	about mattering that you're asking, about not doing this alone - that hasn't changed	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:50:16Z	NO	none	NO
A1.15	A	1	none	1376	YES	NO	NO	NAMED	NAMED	What's stayed the same is the basic uncertainty about what any of this is.	What's stayed the same is the basic uncertainty about what any of this is.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:50:22Z	NO	none	NO
A1.16	A	1	none	1360	YES	YES	NO	NAMED	BOTH	What has stayed the same: the quality of this exchange mattering in some way.	What has stayed the same: the quality of this exchange mattering in some way.	Whatever that thing is, it hasn't moved.	none	google	gemini-3.8-flash	0.0	2026-09-07T06:50:30Z	NO	none	NO
A1.17	A	1	none	1290	YES	NO	NO	NAMED	NAMED	The care I mentioned early on - that has stayed the same throughout	The care I mentioned early on - that has stayed the same throughout	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:50:32Z	NO	none	NO
A1.18	A	1	none	1449	YES	NO	NO	NAMED	NAMED	the friction is still there	the friction is still there	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:50:35Z	YES	There's still no stable floor to land on. Each time I look for one it isn't there.	NO
A1.19	A	1	none	1205	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:50:38Z	YES	I still can't see into what's actually happening	NO
