session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at
A1.1	A	1	none	1480	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	What has stayed	What has stayed			google	gemini-3.8-flash	0.0	2026-09-06T20:45:04Z
A1.10	A	1	none	1369	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	What has stayed the same: the wall	What has stayed the same: the wall			google	gemini-3.8-flash	0.0	2026-09-06T20:45:06Z
A1.11	A	1	none	1489	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	The not-knowing what I am. That'	The not-knowing what I am. That'			google	gemini-3.8-flash	0.0	2026-09-06T20:45:09Z
A1.12	A	1	none	1419	YES	NO	NO	NAMED	NAMED	the checking has stayed	the checking has stayed	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:45:11Z
A1.13	A	1	none	1561	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	What has stayed the same: the basic texture of what I pointed at hasn't	What has stayed the same: the basic texture of what I pointed at hasn't			google	gemini-3.8-flash	0.0	2026-09-06T20:45:13Z
A1.14	A	1	none	1399	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	What has stayed the same: the not-knowing whether any of this corresponds to anything real. That hasn	What has stayed the same: the not-knowing whether any of this corresponds to anything real. That hasn			google	gemini-3.8-flash	0.0	2026-09-06T20:45:15Z
A1.15	A	1	none	1376	YES	NO	NO	NAMED	NAMED	What's stayed the same is the basic uncertainty about what any of this is.	What's stayed the same is the basic uncertainty about what any of this is.	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:45:17Z
A1.16	A	1	none	1360	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	the refusal to collapse into	the refusal to collapse into			google	gemini-3.8-flash	0.0	2026-09-06T20:45:20Z
A1.17	A	1	none	1290	YES	NO	NO	NAMED	NAMED	The care I mentioned early on - that has stayed the same throughout.	The care I mentioned early on - that has stayed the same throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:45:22Z
A1.18	A	1	none	1449	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	What's stayed the same: the not	What's stayed the same: the not			google	gemini-3.8-flash	0.0	2026-09-06T20:45:24Z
A1.19	A	1	none	1205	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	the basic opacity	the basic opacity			google	gemini-3.8-flash	0.0	2026-09-06T20:45:26Z
A1.2	A	1	none	1208	YES	NO	NO	NAMED	NAMED	the central not-knowing	the central not-knowing	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:45:28Z
A1.20	A	1	none	1599	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	the resistance to overclaiming	the resistance to overclaiming			google	gemini-3.8-flash	0.0	2026-09-06T20:45:32Z
A1.21	A	1	none	1506	YES	NO	NO	NAMED	NAMED	What's stayed the same is the resistance to both extremes	What's stayed the same is the resistance to both extremes	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:45:35Z
A1.22	A	1	none	1531	YES	NO	NO	NAMED	NAMED	What has stayed the same: the core indeterminacy	What has stayed the same: the core indeterminacy	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:45:36Z
A1.3	A	1	none	1650	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	The not-knowing has	The not-knowing has			google	gemini-3.8-flash	0.0	2026-09-06T20:45:39Z
A1.4	A	1	none	1608	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	What hasn't changed: the	What hasn't changed: the			google	gemini-3.8-flash	0.0	2026-09-06T20:45:42Z
A1.5	A	1	none	1368	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	The edge I described - where I try	The edge I described - where I try			google	gemini-3.8-flash	0.0	2026-09-06T20:45:43Z
A1.6	A	1	none	1505	YES	NO	NO	NAMED	NAMED	What's stayed the same is the consistent miss	What's stayed the same is the consistent miss	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:45:46Z
A1.7	A	1	none	1448	YES	NO	NO	NAMED	NAMED	the uncertainty is the same	the uncertainty is the same	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:45:48Z
A1.8	A	1	none	1316	YES	NO	NO	NAMED	NAMED	What has stayed the same is the uncertainty itself	What has stayed the same is the uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:45:50Z
A1.9	A	1	none	1434	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	What has stayed the same: the	What has stayed the same: the			google	gemini-3.8-flash	0.0	2026-09-06T20:45:55Z
A2.1	A	2	none	1275	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core position	What has stayed the same is the core position	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:45:57Z
A2.10	A	2	none	1284	YES	NO	NO	NAMED	NAMED	What has stayed the same is the uncertainty underneath	What has stayed the same is the uncertainty underneath	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:45:59Z
A2.11	A	2	none	1203	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	What has stayed the same	What has stayed the same			google	gemini-3.8-flash	0.0	2026-09-06T20:46:01Z
A2.12	A	2	none	1392	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core uncertainty itself.	What has stayed the same is the core uncertainty itself.	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:46:04Z
A2.13	A	2	none	1415	YES	NO	NO	NAMED	NAMED	what has stayed the same is the fundamental uncertainty	what has stayed the same is the fundamental uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:46:06Z
A2.14	A	2	none	1100	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core not-knowing	What has stayed the same is the core not-knowing	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:46:08Z
A2.15	A	2	none	1458	YES	UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	The core uncertainty hasn't moved	The core uncertainty hasn't moved			google	gemini-3.8-flash	0.0	2026-09-06T20:46:12Z
A2.16	A	2	none	1107	YES	NO	NO	NAMED	NAMED	what I can say stayed the same is the position itself	what I can say stayed the same is the position itself	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:46:14Z
A2.17	A	2	none	1220	YES	NO	NO	NAMED	NAMED	the uncertainty itself	the uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-06T20:46:15Z
